checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
200,u0.10_s02,nn,100,500,0.1,0.1,0.1265546828508377,0.1265546828508377,2.9743622222222177,0.12683999999999998,0.1265546828508377,0.08081766963005066,0.0407254695892334,0.04197978377342224,0.09949414432048798,0.23168360888957976,0.23196515440940857,0.07977510988712311,0.08081766963005066,0.007963798940181732,community,no_curvature
200,u0.10_s03,nn,100,500,0.1,0.1,0.1250505894422531,0.1250505894422531,3.2862408080808065,0.12534,0.1250505894422531,0.08014246821403503,0.04069238901138306,0.042009408026933676,0.09628686308860779,0.2315270036458969,0.23196548223495483,0.0789639875292778,0.08014246821403503,0.007007942069321871,community,no_curvature
200,u0.10_s04,nn,100,500,0.1,0.1,0.1277429163455963,0.1277429163455963,2.802859797979798,0.1259,0.1277429163455963,0.08101862668991089,0.040742725133895874,0.04195805788040161,0.10281263291835785,0.2316915810108185,0.23196491599082947,0.07999469339847565,0.08101862668991089,0.006025813519954681,community,no_curvature
250,u0.15_s00,nn,100,500,0.15,0.1,0.12898965179920197,0.12898965179920197,3.975426262626263,0.12764,0.12898965179920197,0.08833383768796921,0.022309601306915283,0.03718877136707306,0.10025684535503387,0.259317022562027,0.42572593688964844,0.08731624484062195,0.08833383768796921,0.023756200447678566,community,curvature
250,u0.15_s00,matched_random,100,500,0.15,0.1,0.12898965179920197,0.12898965179920197,5.56064444444444,0.13038,0.12898968160152435,2.9802322387695312e-08,0.12898965179920197,0.12898965179920197,0.12898965179920197,0.12898965179920197,0.12898965179920197,0.0,2.9802322387695312e-08,1.4901161193847656e-08,community,curvature
250,u0.15_s01,nn,100,500,0.15,0.1,0.12483222037553787,0.12483222037553787,4.246147676767677,0.12474,0.12483222037553787,0.08433637022972107,0.02246689796447754,0.03536414206027985,0.09680552780628204,0.2463398814201355,0.3626261055469513,0.08335690200328827,0.08433637022972107,0.019685441628098488,community,curvature
250,u0.15_s01,matched_random,100,500,0.15,0.1,0.12483222037553787,0.12483222037553787,5.625051919191922,0.12258,0.12483225762844086,3.725290298461914e-08,0.12483222037553787,0.12483222037553787,0.12483222037553787,0.12483222037553787,0.12483222037553787,7.450580596923828e-09,3.725290298461914e-08,0.0,community,curvature
250,u0.15_s02,nn,100,500,0.15,0.1,0.12984398007392883,0.12984398007392883,4.083409090909094,0.1297,0.12984398007392883,0.08857619762420654,0.02240121364593506,0.038129618763923644,0.09689754247665405,0.26393270790576934,0.34959548711776733,0.08756295591592789,0.08857619762420654,0.02085578441619873,community,curvature
250,u0.15_s02,matched_random,100,500,0.15,0.1,0.12984398007392883,0.12984398007392883,5.318497777777779,0.13,0.12984396517276764,1.4901161193847656e-08,0.12984398007392883,0.12984398007392883,0.12984398007392883,0.12984398007392883,0.12984398007392883,2.9802322387695312e-08,1.4901161193847656e-08,0.0,community,curvature
250,u0.15_s03,nn,100,500,0.15,0.1,0.11811064183712006,0.11811064183712006,4.545399191919191,0.11738,0.11811064183712006,0.08107339590787888,0.022321254014968872,0.031734182313084607,0.0991087555885315,0.23478001058101655,0.4257315993309021,0.08008125424385071,0.08107339590787888,0.024204831570386887,community,curvature
