actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,dynamic_repeat_index,mean_VAoI,mean_tail_VAoI,phase,search_probability_mean,topology_index
0.07492,0.5,0.07500000000000001,-2.51800537109375,1,9.43917454545455,23.484634343434333,coarse,0.07317976881618779,5
0.07618,0.5,0.07500000000000001,-2.51800537109375,0,7.949928686868683,20.322698989899,coarse,0.07641345627512344,6
0.07690000000000001,0.5,0.07500000000000001,-2.51800537109375,1,8.288361414141413,21.002278787878804,coarse,0.07641345627512344,6
0.07476,0.5,0.07500000000000001,-2.51800537109375,0,8.543719191919186,22.04004444444444,coarse,0.07509856840924996,7
0.07456,0.5,0.07500000000000001,-2.51800537109375,1,8.660975959595966,22.49983434343435,coarse,0.07509856840924996,7
0.07286,0.5,0.07500000000000001,-2.51800537109375,0,9.46151494949495,24.64866666666665,coarse,0.07438241817257023,8
0.07188,0.5,0.07500000000000001,-2.51800537109375,1,8.742967676767675,23.366791919191932,coarse,0.07438241817257023,8
0.07434,0.5,0.07500000000000001,-2.51800537109375,0,10.48933212121213,26.287010101010097,coarse,0.07455911378360346,9
0.07296,0.5,0.07500000000000001,-2.51800537109375,1,10.974767272727274,27.157923232323256,coarse,0.07455911378360346,9
0.07712,0.5,0.07500000000000001,-2.51800537109375,0,8.27684787878788,21.320480808080795,coarse,0.07648153922940196,10
0.07696,0.5,0.07500000000000001,-2.51800537109375,1,7.629787272727273,19.842129292929293,coarse,0.07648153922940196,10
0.07604,0.5,0.07500000000000001,-2.51800537109375,0,9.314875959595962,24.451470707070683,coarse,0.07470645807986041,11
0.07554,0.5,0.07500000000000001,-2.51800537109375,1,8.825007878787888,22.73049696969698,coarse,0.07470645807986041,11
0.07626000000000001,0.5,0.07500000000000001,-2.51800537109375,0,9.440941616161629,23.844024242424226,coarse,0.07614859703208716,12
0.07428,0.5,0.07500000000000001,-2.51800537109375,1,9.085475151515157,23.139894949494956,coarse,0.07614859703208716,12
0.07464,0.5,0.07500000000000001,-2.51800537109375,0,8.577230101010104,21.793179797979796,coarse,0.07454573911310922,13
0.07522000000000001,0.5,0.07500000000000001,-2.51800537109375,1,8.499349292929288,21.75258989898991,coarse,0.07454573911310922,13
0.07472000000000001,0.5,0.07500000000000001,-2.51800537109375,0,9.213819797979799,23.60583838383838,coarse,0.07519903826376675,14
0.07794,0.5,0.07500000000000001,-2.51800537109375,1,8.625070101010103,21.72272323232325,coarse,0.07519903826376675,14
0.07490000000000001,0.5,0.07500000000000001,-2.51800537109375,0,8.096647070707064,20.843490909090907,coarse,0.07553635745310176,15
0.07504,0.5,0.07500000000000001,-2.51800537109375,1,8.149636161616163,20.396743434343446,coarse,0.07553635745310176,15
0.07416,0.5,0.07500000000000001,-2.51800537109375,0,8.685032121212135,22.45668282828283,coarse,0.07347277914072807,16
0.07246000000000001,0.5,0.07500000000000001,-2.51800537109375,1,8.550407474747473,21.84370505050504,coarse,0.07347277914072807,16
0.07346,0.5,0.07500000000000001,-2.51800537109375,0,8.484404848484848,22.386892929292905,coarse,0.07540789890508738,17
0.07388,0.5,0.07500000000000001,-2.51800537109375,1,7.946144242424242,20.534553535353535,coarse,0.07540789890508738,17
0.076,0.5,0.07500000000000001,-2.51800537109375,0,8.517370303030308,22.118606060606062,coarse,0.07569170181705064,18
0.07372,0.5,0.07500000000000001,-2.51800537109375,1,8.613517373737361,21.959200000000003,coarse,0.07569170181705064,18
