phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,rank,selected
coarse,0.2,1.0,-1.4022064208984375,0.20000068427741474,0.20016467963862578,0.20019399999999998,10.245347055555557,26.625150303030303,True,36,False
coarse,0.2,1.5,-1.4217681884765625,0.2000001225521476,0.2003587770756723,0.20035150000000002,10.265051308080809,26.60039090909091,True,37,False
coarse,0.2,1.2,-1.4091339111328125,0.2000007127174043,0.20023469738603886,0.20027699999999998,10.273880434343436,26.73403606060606,True,38,False
coarse,0.2,1.8,-1.4369964599609375,0.19999936495587234,0.20050306612551555,0.20066100000000003,10.411132292929294,26.959490303030304,True,39,False
coarse,0.2,0.5,-1.390289306640625,0.20000089730637213,0.20004215666880945,0.2000245,10.460747666666666,27.19004070707071,True,40,False
coarse,0.05,1.5,-2.999420166015625,0.0500001630794518,0.05019594926988004,0.050036000000000004,10.929849702020203,28.540464949494947,True,41,False
coarse,0.05,1.8,-3.02374267578125,0.04999903978932165,0.05028714205226652,0.050124499999999995,10.952652853535355,29.172601010101015,True,42,False
coarse,0.05,1.2,-2.97955322265625,0.05000020730552526,0.050122392902696156,0.049939,11.00956987878788,28.285243535353537,True,43,False
coarse,0.05,1.0,-2.968780517578125,0.05000019581849715,0.050083459059141446,0.04994,11.056074313131314,28.09795767676768,True,44,False
coarse,0.05,0.5,-2.95050048828125,0.04999957197185734,0.05001923280049721,0.049942,11.349093247474746,28.332560303030313,True,45,False
