topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability,model_label
community,Community topology,50,v32_no_curvature,nn,5.0,4.033747755102041,0.3165491432015581,0.2774675577478557,0.13194,0.0026949953617770995,0.0023622675885682514,0.13138510286808014,0.0015575443023957277,0.0013652477757447397,V3.2 no-curvature MPNN
community,Community topology,60,v32_no_curvature,nn,5.0,4.520134463276835,0.42193661388871945,0.3698437487336933,0.13023333333333334,0.0018887459096212787,0.0016555587844860383,0.131080761551857,0.0024621172832849972,0.002158140952688925,V3.2 no-curvature MPNN
community,Community topology,70,v32_no_curvature,nn,5.0,4.862744927536232,0.44144744741708847,0.38694574836000245,0.12965714285714286,0.0022260058492322883,0.0019511801557006536,0.12908183932304382,0.000860019024093264,0.0007538399119277025,V3.2 no-curvature MPNN
community,Community topology,80,v32_no_curvature,nn,5.0,4.862078797468355,0.5088257232593002,0.4460054111160501,0.13105,0.0018642399590717978,0.0016340783717435385,0.1299784153699875,0.0019072643344812375,0.0016717908995606896,V3.2 no-curvature MPNN
community,Community topology,90,v32_no_curvature,nn,5.0,5.632781273408239,0.46284616229110004,0.4057025489470574,0.12904444444444443,0.002396435109609249,0.0021005679890313484,0.12771433889865874,0.001390779914523686,0.001219072344801593,V3.2 no-curvature MPNN
community,Community topology,100,v32_no_curvature,nn,5.0,5.869751616161614,0.3915547838128295,0.3432129005001226,0.12886000000000003,0.0015958540033474244,0.0013988277091908068,0.1282812088727951,0.0012255608934666417,0.001074251487595861,V3.2 no-curvature MPNN
community,Community topology,110,v32_no_curvature,nn,5.0,6.2439322768974135,0.5276978850504946,0.4625475902818642,0.12775454545454545,0.00176589592834687,0.00154787602809369,0.12853809595108032,0.0015151552982130743,0.0013280921753631727,V3.2 no-curvature MPNN
community,Community topology,120,v32_no_curvature,nn,5.0,6.235223319327731,0.3686215279531917,0.3231110154334848,0.12883333333333333,0.0008436856971381912,0.0007395231196145556,0.1275807201862335,0.0011647652082880785,0.0010209617199550673,V3.2 no-curvature MPNN
community,Community topology,130,v32_no_curvature,nn,5.0,6.022062552176506,0.44485896890300364,0.38993607878809183,0.12855384615384616,0.001315193418403025,0.0011528178597469188,0.12833122611045839,0.001213494469807559,0.001063674800925429,V3.2 no-curvature MPNN
community,Community topology,140,v32_no_curvature,nn,5.0,6.7154094552929084,0.7439285448065605,0.6520821202632672,0.1277285714285714,0.001272902436263247,0.0011157481794742076,0.12845649123191832,0.0011073188415709064,0.0009706077593873958,V3.2 no-curvature MPNN
community,Community topology,150,v32_no_curvature,nn,5.0,6.92369995525727,0.3206401674415925,0.2810534986007957,0.1272066666666667,0.001392918598562822,0.0012209469840160027,0.12787978053092958,0.0005646042809314462,0.00049489747259964,V3.2 no-curvature MPNN
community,Community topology,50,v33_curv_bmax20,nn,5,4.578873469387757,0.3616434061232416,0.3169944219648037,0.09706000000000001,0.004292202231955061,0.0037622811378205116,0.09648061841726303,0.002754310033853225,0.0024142591909877787,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,60,v33_curv_bmax20,nn,5,5.214178531073445,0.32555408342026226,0.2853607358650947,0.09716666666666667,0.0035526789578820377,0.0031140604076064803,0.09749827086925507,0.003405595787760432,0.0029851363246451543,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,70,v33_curv_bmax20,nn,5,5.364908488612835,0.31546940154980796,0.2765211224611268,0.09661428571428572,0.0016363224072315817,0.0014342998291849566,0.09674461036920548,0.002118129511464126,0.0018566223765306244,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,80,v33_curv_bmax20,nn,5,5.2539966772151905,0.2810188074069168,0.24632384527657267,0.0992625,0.002825456268463557,0.002476621615225064,0.09853405654430389,0.0008597148591265785,0.0007535732995792845,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,90,v33_curv_bmax20,nn,5,6.254945817727839,0.46968618662895517,0.4116980946268386,0.09723333333333332,0.002488368001048471,0.002181150721324822,0.0973257303237915,0.002215254396156406,0.0019417560915663014,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,100,v33_curv_bmax20,nn,5,6.292793131313132,0.37771852551532636,0.3310848853699973,0.09780000000000001,0.0024220342689565745,0.0021230066415345965,0.09834259152412414,0.0028162484397976023,0.0024685505975427435,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,110,v33_curv_bmax20,nn,5,6.597655129274395,0.6240956968709369,0.547043997846059,0.09863636363636365,0.0029108659357428004,0.002551486489438099,0.09837868511676788,0.0022784104879358205,0.0019971148468157997,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,120,v33_curv_bmax20,nn,5,6.491426820728291,0.3102077009824062,0.2719090385639107,0.09912500000000002,0.0023305414845291,0.002042809680045814,0.09893756508827209,0.002281114761969618,0.0019994852475189884,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,130,v33_curv_bmax20,nn,5,6.5856350029815145,0.261994984872478,0.2296487296080448,0.09990769230769231,0.0024786962119716493,0.0021726730244116155,0.0994600385427475,0.0021157375639025257,0.0018545257420508542,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,140,v33_curv_bmax20,nn,5,6.948581911613566,0.5277692480505922,0.46261014270942846,0.09899285714285715,0.0021762868583428785,0.0019075995386872995,0.09934542030096054,0.0013092768261043206,0.0011476317379374972,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,150,v33_curv_bmax20,nn,5,7.332659060402685,0.3158602406340732,0.2768637080233137,0.09886666666666667,0.0008323327326122547,0.0007295718074475097,0.09840460866689682,0.0015942817205294305,0.0013974495425365383,V3.3 single-N MPNN (curv bmax=20)
community,Community topology,50,v33_random_trained,nn,5,4.8520771428571425,0.3977123191234976,0.3486102181712982,0.09487999999999999,0.0036914766693018604,0.0032357219658060805,0.09442036151885987,0.002819420410304444,0.0024713309522797055,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,60,v33_random_trained,nn,5,5.462398022598872,0.31660346650306126,0.27751517422106564,0.09521666666666666,0.0037027579811090357,0.0032456104715959566,0.09546335339546204,0.003706573672419044,0.0032489550724948872,V3.3 single-N MPNN (curv bmax=1)
