checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count
210,n090_s02,nn,90,200,0.2,0.1,0.12810273468494415,0.12810273468494415,4.617671660424468,0.12627777777777777,0.12810273468494415,0.08335000276565552,0.040224045515060425,0.04109614789485931,0.09960639476776123,0.23190930783748626,0.23196840286254883,0.08120716363191605,0.08335000276565552,0.009514393284916878,random,no_curvature,90
210,n090_s03,nn,90,200,0.2,0.1,0.12746866047382355,0.12746866047382355,4.023182272159802,0.1286111111111111,0.12746866047382355,0.08377189934253693,0.04020428657531738,0.040996724367141725,0.09831367433071136,0.23188934326171876,0.23196840286254883,0.08156304061412811,0.08377189934253693,0.010544192977249622,random,no_curvature,90
210,n090_s04,nn,90,200,0.2,0.1,0.12729424238204956,0.12729424238204956,4.118007490636704,0.1281111111111111,0.12729424238204956,0.08353176712989807,0.04028862714767456,0.04109878540039063,0.0983576774597168,0.23189350366592407,0.231968492269516,0.08126895874738693,0.08353176712989807,0.009121202863752842,random,no_curvature,90
270,n100_s00,nn,100,200,0.2,0.1,0.1251973956823349,0.1251973956823349,4.503895454545456,0.12325,0.1251973956823349,0.0862751230597496,0.021821290254592896,0.03226361274719238,0.10818257927894592,0.2458372831344606,0.4183790683746338,0.08513262122869492,0.0862751230597496,0.03147292137145996,random,curvature,100
270,n100_s00,matched_random,100,200,0.2,0.1,0.1251973956823349,0.1251973956823349,6.089407575757572,0.126,0.1251973956823349,0.0,0.1251973956823349,0.1251973956823349,0.1251973956823349,0.1251973956823349,0.1251973956823349,0.0,0.0,1.4901161193847656e-08,random,curvature,100
270,n100_s01,nn,100,200,0.2,0.1,0.1321452558040619,0.1321452558040619,4.61958787878788,0.1308,0.1321452558040619,0.0911552682518959,0.021804124116897583,0.03471630811691284,0.11202271282672882,0.2645158588886261,0.41837063431739807,0.08999763429164886,0.0911552682518959,0.03331746906042099,random,curvature,100
270,n100_s01,matched_random,100,200,0.2,0.1,0.1321452558040619,0.1321452558040619,5.589307575757574,0.12935,0.13214527070522308,1.4901161193847656e-08,0.1321452558040619,0.1321452558040619,0.1321452558040619,0.1321452558040619,0.1321452558040619,0.0,1.4901161193847656e-08,0.0,random,curvature,100
270,n100_s02,nn,100,200,0.2,0.1,0.13098658621311188,0.13098658621311188,4.513490404040405,0.13405,0.13098658621311188,0.0896628275513649,0.02181360125541687,0.0376226007938385,0.10479354858398438,0.2534368813037872,0.41836366057395935,0.08871021121740341,0.0896628275513649,0.029431089758872986,random,curvature,100
270,n100_s02,matched_random,100,200,0.2,0.1,0.13098658621311188,0.13098658621311188,5.785922727272731,0.12869999999999998,0.13098658621311188,0.0,0.13098658621311188,0.13098658621311188,0.13098658621311188,0.13098658621311188,0.13098658621311188,1.4901161193847656e-08,0.0,0.0,random,curvature,100
270,n100_s03,nn,100,200,0.2,0.1,0.13443517684936523,0.13443517684936523,4.467101515151513,0.1363,0.13443517684936523,0.09257792681455612,0.021895885467529297,0.03727073073387146,0.10931052640080452,0.2657236874103547,0.4183558225631714,0.09148754924535751,0.09257792681455612,0.03181394189596176,random,curvature,100
