node_i,node_j,edge_curvature,is_inter_cluster
23,26,0.2613636363636366,False
23,32,0.02499999999999991,False
23,41,0.1805555555555557,False
23,42,0.08333333333333337,False
23,44,0.27380952380952384,False
23,46,0.08333333333333348,False
23,47,-0.11858974358974361,False
23,49,0.09469696969696983,False
24,27,0.16666666666666674,False
24,30,-0.08333333333333304,False
24,31,-0.0535714285714286,False
24,42,0.0,False
24,46,0.0,False
24,49,-0.21969696969696995,False
25,28,0.17857142857142883,False
25,30,-0.06746031746031722,False
25,31,0.25,False
25,35,-0.13888888888888862,False
25,38,0.2912087912087912,False
25,43,0.25595238095238104,False
26,32,0.2727272727272727,False
26,37,0.11616161616161635,False
26,41,0.41414141414141437,False
26,42,0.23636363636363633,False
26,44,0.16233766233766234,False
26,46,0.23636363636363644,False
26,49,-0.09090909090909083,False
27,31,0.017857142857143127,False
27,39,0.20833333333333326,False
27,42,1.1102230246251565e-16,False
27,46,-2.220446049250313e-16,False
28,38,0.30000000000000016,False
28,40,0.2214285714285712,False
28,43,0.2583333333333334,False
28,48,0.35,False
29,33,0.48611111111111116,False
29,47,0.27884615384615397,False
30,31,0.019841269841269882,False
30,34,-0.11111111111111094,False
30,35,0.05555555555555558,False
30,45,-0.11111111111111116,False
30,47,-0.5085470085470083,False
31,35,-0.19841269841269815,False
31,38,0.17857142857142883,False
31,43,0.16071428571428592,False
32,36,0.15000000000000013,False
32,37,0.36111111111111116,False
32,41,0.377777777777778,False
32,42,0.2833333333333333,False
32,44,-0.02857142857142847,False
32,46,0.28333333333333344,False
33,47,0.3162393162393162,False
33,49,0.07070707070707061,False
34,35,0.30555555555555547,False
34,45,0.5833333333333333,False
35,45,0.3055555555555556,False
36,37,0.30555555555555547,False
36,39,-0.125,False
36,42,0.21250000000000002,False
36,46,0.21250000000000002,False
37,41,0.2222222222222221,False
37,42,0.288888888888889,False
37,46,0.288888888888889,False
38,40,0.197802197802198,False
38,43,0.47435897435897445,False
38,48,0.2628205128205131,False
