checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
200,u0.05_s00,nn,100,500,0.05,0.1,0.1215430200099945,0.1215430200099945,1.601834747474748,0.12188,0.1215430200099945,0.07778506726026535,0.04082381725311279,0.04225931577384472,0.09134317561984062,0.230863156914711,0.23196357488632202,0.07674598693847656,0.07778506726026535,0.006894283462315798,community,no_curvature
200,u0.05_s01,nn,100,500,0.05,0.1,0.1229611486196518,0.1229611486196518,1.5607830303030306,0.12368,0.1229611486196518,0.07827334105968475,0.04089963436126709,0.042182070016860966,0.09423510730266571,0.23093506693840027,0.23196133971214294,0.07733621448278427,0.07827334105968475,0.007484063971787691,community,no_curvature
200,u0.05_s02,nn,100,500,0.05,0.1,0.12282406538724899,0.12282406538724899,1.4077111111111116,0.1241,0.12282406538724899,0.07862560451030731,0.04064100980758667,0.04217970371246338,0.09307835251092911,0.23097026944160462,0.23196160793304443,0.07769053429365158,0.07862560451030731,0.007076894398778677,community,no_curvature
200,u0.05_s03,nn,100,500,0.05,0.1,0.1229594349861145,0.1229594349861145,1.6795878787878793,0.1201,0.1229594349861145,0.07809121161699295,0.04085138440132141,0.04229804873466492,0.09505932033061981,0.23074951767921448,0.2319616973400116,0.0769898071885109,0.07809121161699295,0.00698126619681716,community,no_curvature
200,u0.05_s04,nn,100,500,0.05,0.1,0.12241122871637344,0.12241122871637344,1.532331313131313,0.12269999999999999,0.12241122871637344,0.07861616462469101,0.040831804275512695,0.042189407348632815,0.09190689027309418,0.2310856968164444,0.23196151852607727,0.07756094634532928,0.07861616462469101,0.0075597683899104595,community,no_curvature
160,u0.10_s00,nn,100,500,0.1,0.1,0.10603846609592438,0.10603846609592438,2.8201579797979823,0.10742000000000002,0.10603846609592438,0.06388901174068451,0.02575865387916565,0.040213031321763994,0.08593948185443878,0.1982721507549286,0.3995022177696228,0.06318926811218262,0.06388901174068451,0.02023744396865368,community,curvature
160,u0.10_s00,matched_random,100,500,0.1,0.1,0.10603846609592438,0.10603846609592438,3.714928484848484,0.10566,0.10603845864534378,7.450580596923828e-09,0.10603846609592438,0.10603846609592438,0.10603846609592438,0.10603846609592438,0.10603846609592438,2.2351741790771484e-08,7.450580596923828e-09,1.4901161193847656e-08,community,curvature
160,u0.10_s01,nn,100,500,0.1,0.1,0.10577278584241867,0.10577278584241867,2.8290460606060575,0.10606,0.10577278584241867,0.06410297006368637,0.02593788504600525,0.03814292848110199,0.0909322053194046,0.19732047319412227,0.3965095281600952,0.06345439702272415,0.06410297006368637,0.022814366966485977,community,curvature
160,u0.10_s01,matched_random,100,500,0.1,0.1,0.10577278584241867,0.10577278584241867,3.7893773737373713,0.10442,0.10577275604009628,2.9802322387695312e-08,0.10577278584241867,0.10577278584241867,0.10577278584241867,0.10577278584241867,0.10577278584241867,7.450580596923828e-09,2.9802322387695312e-08,7.450580596923828e-09,community,curvature
160,u0.10_s02,nn,100,500,0.1,0.1,0.10893957316875458,0.10893957316875458,2.984412525252524,0.11036,0.10893957316875458,0.06663037091493607,0.02575737237930298,0.04082518815994263,0.09111182391643524,0.20698038935661314,0.4011538028717041,0.06595556437969208,0.06663037091493607,0.0242600180208683,community,curvature
