candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
29,coarse,full,0.11249999999999999,1.8,-2.843994140625,0.11249956384832466,0.11297296499735945,0.11282450000000002,10.110368025252527,25.39642929292929,True,1,True,False,500,22,False
54,refine,full,0.09375,1.8,-3.05084228515625,0.09374906903635648,0.09418412905270682,0.0940075,10.135804914141413,25.566916565656566,True,,True,False,500,23,False
8,coarse,full,0.11249999999999999,1.0,-2.48150634765625,0.11250058767748243,0.11264393488609174,0.1125,10.144367964646463,25.343865656565654,True,1,True,False,500,24,False
49,refine,full,0.09375,1.2,-2.77447509765625,0.09374991997432496,0.09393906682495558,0.09377150000000001,10.161034651515152,25.456397171717168,True,,True,False,500,25,True
45,refine,full,0.09375,1.0,-2.685791015625,0.09375067995752957,0.09388055863701306,0.0936595,10.213743515151515,25.483155656565657,True,,True,False,500,26,False
53,refine,full,0.13124999999999998,1.5,-2.527099609375,0.13125028989553422,0.13159763693692234,0.13149550000000002,10.3007543030303,25.63426777777778,True,,True,False,500,27,False
50,refine,full,0.13124999999999998,1.2,-2.392669677734375,0.13124932278183363,0.1314710844555369,0.131276,10.314650787878788,25.713964848484853,True,,True,False,500,28,False
36,coarse,full,0.11249999999999999,2.5,-3.1815948486328125,0.11250044307711482,0.11340583486128179,0.11318000000000002,10.360396545454545,26.37881757575758,True,1,True,False,500,29,False
46,refine,full,0.13124999999999998,1.0,-2.304962158203125,0.13124912881477876,0.1314024383912861,0.1311875,10.368329262626261,25.896786363636362,True,,True,False,500,30,False
1,coarse,full,0.11249999999999999,0.5,-2.268280029296875,0.11249988046185862,0.1125345754155445,0.11227499999999999,10.37559607070707,25.914103636363638,True,1,True,False,500,31,False
57,refine,full,0.09375,2.5,-3.3921356201171875,0.0937497909605717,0.09459346845332395,0.0944055,10.387325232323233,26.79741181818182,True,,True,False,500,32,False
55,refine,full,0.13124999999999998,1.8,-2.6649169921875,0.13124950824725373,0.1317485118513939,0.131557,10.402911333333332,25.973780404040404,True,,True,False,500,33,False
17,coarse,coarse,0.1875,1.2,-1.9644927978515625,0.18750019678694685,0.18742550339620473,0.18705000000000002,10.420010454545451,23.48293737373737,True,4,False,True,200,34,False
10,coarse,coarse,0.1875,1.0,-1.878204345703125,0.18749992374966806,0.1873859716992894,0.18687,10.427882676767677,23.605730303030303,True,4,False,True,200,35,False
43,refine,full,0.09375,0.5,-2.471771240234375,0.09374938789371505,0.09378058574195547,0.093615,10.446444848484848,25.983646868686872,True,,True,False,500,36,False
31,coarse,coarse,0.1875,1.8,-2.2307891845703125,0.18750077860829084,0.18765552257323634,0.18745,10.548272424242423,23.81368282828283,True,4,False,True,200,37,False
44,refine,full,0.13124999999999998,0.5,-2.0925140380859375,0.13125050645632597,0.13128790199975607,0.13112150000000003,10.608517994949496,26.466208686868686,True,,True,False,500,38,False
24,coarse,coarse,0.1875,1.5,-2.096282958984375,0.18749959331925606,0.18751964658413037,0.187195,10.615648838383837,24.065829292929294,True,4,False,True,200,39,False
3,coarse,coarse,0.1875,0.5,-1.6681365966796875,0.1875000402199226,0.18737706345314667,0.18682,10.626211313131316,24.18920303030303,True,4,False,True,200,40,False
51,refine,full,0.075,1.5,-3.156829833984375,0.0750003995392894,0.07526229934324888,0.07509000000000002,10.645643843434344,26.7918598989899,True,,True,False,500,41,False
28,coarse,full,0.075,1.8,-3.298095703125,0.07500090584050773,0.07538351231323664,0.0752095,10.64673964141414,27.04664505050505,True,2,True,False,500,42,False
48,refine,full,0.075,1.2,-3.0196533203125,0.07499970355009843,0.0751642721522305,0.07495650000000001,10.670964530303033,26.632215656565656,True,,True,False,500,43,False
58,refine,full,0.13124999999999998,2.5,-2.998931884765625,0.1312499691906813,0.13219098245138874,0.1319705,10.685663833333333,26.911918585858587,True,,True,False,500,44,False
7,coarse,full,0.075,1.0,-2.93048095703125,0.07500023842636282,0.07511286919304586,0.074985,10.740658520202018,26.715746565656566,True,2,True,False,500,45,False
38,coarse,coarse,0.1875,2.5,-2.5545654296875,0.1874992791957853,0.18809984487787457,0.188175,10.844229848484849,24.192853535353542,True,4,False,True,200,46,False
16,coarse,full,0.15,1.2,-2.2357940673828125,0.14999909250551333,0.15022975822167145,0.15009999999999998,10.859012212121211,27.105956767676776,True,2,True,False,500,47,False
56,refine,full,0.15,1.8,-2.5060272216796875,0.14999989247930384,0.15051304494630605,0.150422,10.876474328282828,27.127060808080806,True,,True,False,500,48,False
23,coarse,full,0.15,1.5,-2.36932373046875,0.15000096918695982,0.15036025644177814,0.1502735,10.87724248989899,27.098690000000005,True,2,True,False,500,49,False
47,refine,full,0.15,1.0,-2.1485595703125,0.1499993496187919,0.15015937994823564,0.1500475,10.916112106060606,27.269172121212126,True,,True,False,500,50,False
35,coarse,full,0.075,2.5,-3.643218994140625,0.07499972074520155,0.07575194216852218,0.0756185,10.931797479797982,28.52634030303031,True,2,True,False,500,51,False
2,coarse,full,0.15,0.5,-1.9369049072265625,0.15000089199961167,0.15004024019968282,0.14992,11.023966676767678,27.554720707070715,True,2,True,False,500,52,False
42,refine,full,0.075,0.5,-2.71563720703125,0.07500043537595683,0.07502729045437537,0.07491099999999999,11.026120540404039,27.274105353535354,True,,True,False,500,53,False
59,refine,full,0.15,2.5,-2.8365478515625,0.14999985459593868,0.15095368268723747,0.150867,11.212080212121213,27.984621010101012,True,,True,False,500,54,False
18,coarse,coarse,0.22499999999999998,1.2,-1.7319183349609375,0.2250003987627003,0.2248526212772985,0.224355,11.634956515151512,25.076747474747474,True,5,False,True,200,55,False
11,coarse,coarse,0.22499999999999998,1.0,-1.6465606689453125,0.22499964491122315,0.22482703260426745,0.224335,11.706803484848484,25.1744101010101,True,5,False,True,200,56,False
25,coarse,coarse,0.22499999999999998,1.5,-1.8619842529296875,0.22499992602412536,0.2249222475944829,0.22452,11.748404090909093,25.24862323232323,True,5,False,True,200,57,False
32,coarse,coarse,0.22499999999999998,1.8,-1.9943771362304688,0.22499993973852037,0.22502796745819958,0.22480000000000003,11.863681717171719,25.396434343434343,True,5,False,True,200,58,False
4,coarse,coarse,0.22499999999999998,0.5,-1.43804931640625,0.2250006227830491,0.22485004447491513,0.22452999999999998,11.879767525252523,25.479373737373734,True,5,False,True,200,59,False
39,coarse,coarse,0.22499999999999998,2.5,-2.3116607666015625,0.22500076683608314,0.22538675727218807,0.225775,12.329207121212123,25.71198787878788,True,5,False,True,200,60,False
19,coarse,coarse,0.2625,1.2,-1.5251998901367188,0.2625002830612596,0.26226913145393616,0.26248499999999997,12.941141161616164,26.325968686868684,True,6,False,True,200,61,False
12,coarse,coarse,0.2625,1.0,-1.4407501220703125,0.26250092134757724,0.2622635996206444,0.26244,12.964636313131313,26.299865656565657,True,6,False,True,200,62,False
5,coarse,coarse,0.2625,0.5,-1.233795166015625,0.26250040040664363,0.26232245626672973,0.26198,13.05859398989899,26.2617898989899,True,6,False,True,200,63,False
26,coarse,coarse,0.2625,1.5,-1.6535720825195312,0.26250017490231664,0.26230643679657617,0.26251499999999994,13.071699242424241,26.322025252525254,True,6,False,True,200,64,False
33,coarse,coarse,0.2625,1.8,-1.7838973999023438,0.26249976359823596,0.26237295282810436,0.26267000000000007,13.210260050505052,26.366916161616167,True,6,False,True,200,65,False
40,coarse,coarse,0.2625,2.5,-2.094940185546875,0.2624993615666767,0.2626149186915698,0.263025,13.449764646464644,26.544943434343434,True,6,False,True,200,66,False
6,coarse,coarse,0.3,0.5,-1.047576904296875,0.299999285138,0.2997947158778116,0.29914999999999997,14.191071161616161,26.795418181818178,True,7,False,True,200,67,False
13,coarse,coarse,0.3,1.0,-1.25299072265625,0.3000009760657874,0.2996951827819859,0.29932,14.25728914141414,26.81167575757575,True,7,False,True,200,68,False
20,coarse,coarse,0.3,1.2,-1.3365402221679688,0.29999947454301934,0.29967808704757753,0.299545,14.295422474747477,26.806602020202025,True,7,False,True,200,69,False
27,coarse,coarse,0.3,1.5,-1.4632415771484375,0.3000008213350227,0.29967835246778474,0.29938000000000003,14.353197626262624,26.848152525252534,True,7,False,True,200,70,False
34,coarse,coarse,0.3,1.8,-1.5915451049804688,0.29999963078939823,0.29969838995052017,0.29928999999999994,14.460250909090913,26.900631313131317,True,7,False,True,200,71,False
41,coarse,coarse,0.3,2.5,-1.8965301513671875,0.29999908071613984,0.2998059808502753,0.29968,14.679623434343432,27.00113737373737,True,7,False,True,200,72,False
