episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
175,7.310510341264307,0.1115249998588115,0.1111655653683819,0.1,0.011165565368381897,0.11165564251825472,0.11165564251825472,0.10989559441804886,0.0,0.0,False,-3.1005859000288183e-06,94.02019500732422,0.34556859731674194,5.4363163144444115e-06,0.0,-2.4414061883248905e-08,0.9999998807907104,6.4597368240356445,0.0,0.0,0.0,0.0007805420318618417,0.0,0.0,100,0.2,0.155,0.02,968,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.10516662895679474,0.025323709473013878,0.03395971655845642,0.16558653116226196,0.10989559441804886,0.0024768849834799767,-0.05007998835766095,0.10989559441804886,0.0024768849834799767,0.10309815406799316,0.10653081238269806,0.109774649143219,0.11339697539806365,0.11592090129852295,0.002347518689930439,0.0024768849834799767,0.00040439594886265695
176,7.312338627204299,0.11032499987632036,0.11074528262235113,0.1,0.010745282622351124,0.10745281547822969,0.10745281547822969,0.10941752046346664,0.0,0.0,False,-3.1372069315693807e-06,90.47443389892578,0.3445279896259308,3.414529601286631e-06,0.0,0.0,0.9999998211860657,6.858957767486572,0.0,0.0,0.0,0.001017139875330031,0.0,0.0,100,0.2,0.1425,0.0,1022,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.10029691457748413,0.02390109933912754,0.03277124464511871,0.15527072548866272,0.10941752046346664,0.00232946895994246,0.06052744013057653,0.10941752046346664,0.00232946895994246,0.10298827290534973,0.10624004304409027,0.10928809642791748,0.11277713775634765,0.1148679256439209,0.0021963478066027164,0.00232946895994246,0.00033730221912264824
177,7.671235098578036,0.10842500002123416,0.10958514132179265,0.1,0.00958514132179264,0.09585140363278603,0.09585140363278603,0.10898098349571228,0.0,0.0,False,-4.39453117451194e-07,92.22135925292969,0.343866229057312,-4.956074008077849e-06,0.0,-2.4414061883248905e-08,0.9999998807907104,6.784636974334717,0.0,0.0,0.0,0.000873617478646338,0.0,0.0,100,0.2,0.1525,0.01,898,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0958341658115387,0.022511916235089302,0.03157946094870567,0.1501818597316742,0.10898098349571228,0.0021857297979295254,0.12925654089595362,0.10898098349571228,0.0021857297979295254,0.10287824273109436,0.10601074099540711,0.10886949300765991,0.11206449866294861,0.11435148119926453,0.002062384970486164,0.0021857297979295254,0.00031336385291069746
178,6.8058335946127775,0.11127499997615814,0.11043007064897539,0.1,0.010430070648975387,0.10430069605968427,0.10430069605968427,0.10869764536619186,0.0,0.0,False,-1.4941406334401108e-05,85.12293243408203,0.3427684009075165,1.4871195162413642e-05,0.0,2.4414061883248905e-08,0.9999997615814209,6.7568278312683105,0.0,0.0,0.0,0.004086560569703579,0.0,0.0,100,0.2,0.1625,0.02,984,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0929361954331398,0.021142572164535522,0.030372608453035355,0.14331477880477905,0.10869764536619186,0.0020479264203459024,0.14184587697609147,0.10869764536619186,0.0020479264203459024,0.1027669608592987,0.10589118897914887,0.10859069228172302,0.11154202222824097,0.11365792155265808,0.0019167327554896474,0.0020479264203459024,0.0003328340535517782
179,7.062187386155128,0.10854999992065131,0.10949003528481335,0.1,0.009490035284813347,0.09490034335809913,0.09490034335809913,0.10796032845973969,0.0,0.0,False,2.2705078208673513e-06,90.67214965820312,0.34106749296188354,6.458046300394926e-06,0.0,2.4414061883248905e-08,0.9999999403953552,6.31771183013916,0.0,0.0,0.0,0.0008043961715884507,0.0,0.0,100,0.2,0.15,0.0,1076,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.085328109562397,0.01955430395901203,0.02809489332139492,0.13474801182746887,0.10796032845973969,0.0018829283071681857,-0.07726675346051443,0.10796032845973969,0.0018829283071681857,0.10255709290504456,0.1053882360458374,0.10787257552146912,0.11057950556278229,0.11279770731925964,0.001751587726175785,0.0018829283071681857,0.0002949607151094824
180,7.987239414379001,0.10492499968968332,0.10720751748724833,0.1,0.007207517487248322,0.07207516766496645,0.07207516766496645,0.10731640458106995,0.0,0.0,False,9.887695568977506e-07,94.55601501464844,0.340641051530838,-3.1041554393596016e-06,0.0,0.0,0.9999999403953552,6.663878917694092,0.0,0.0,0.0,0.0023638580460101366,0.0,0.0,100,0.2,0.15,0.0,1006,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.07864031940698624,0.018455633893609047,0.02598581835627556,0.12483837455511093,0.10731640458106995,0.0017682217294350266,-0.04539390823390981,0.10731640458106995,0.0017682217294350266,0.10236310958862305,0.10495534539222717,0.10722300410270691,0.10977805852890014,0.11180984973907471,0.0016625381540507078,0.0017682217294350266,0.00029017243650741875
181,8.013543932810427,0.10677500014193356,0.10699125881459094,0.1,0.0069912588145909366,0.06991258115465125,0.06991258115465125,0.10725154727697372,0.0,0.0,False,-6.225585821084678e-06,95.58726501464844,0.341282457113266,1.6638755369058345e-06,0.0,-2.4414061883248905e-08,0.9999998211860657,6.67899751663208,0.0,0.0,0.0,0.0021749986335635185,0.0,0.0,100,0.2,0.145,0.0,914,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.07796581089496613,0.01827024668455124,0.02595837228000164,0.12090373039245605,0.10725154727697372,0.001750098424963653,0.06544464257354261,0.10725154727697372,0.001750098424963653,0.10236060619354248,0.10494384169578552,0.10710738599300385,0.10977087914943695,0.11141970008611679,0.0016464587533846498,0.001750098424963653,0.0002693053684197366
182,7.689682580754161,0.10665000000037253,0.10682062940748174,0.1,0.0068206294074817375,0.06820628725418865,0.06820628725418865,0.10762132704257965,0.0,0.0,False,1.7822266045186552e-06,92.06774139404297,0.3418942987918854,2.6117268134839833e-06,0.0,0.0,0.9999998807907104,6.719063758850098,0.0,0.0,0.0,0.0016027166275307536,0.0,0.0,100,0.2,0.145,0.0,1048,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.08182387053966522,0.018138961866497993,0.02738303318619728,0.12693063914775848,0.10762132704257965,0.0017426449339836836,-0.22528658286240677,0.10762132704257965,0.0017426449339836836,0.1024915874004364,0.10533620715141297,0.10749644041061401,0.11009348630905151,0.11201781034469604,0.001624288153834641,0.0017426449339836836,0.0002951831556856632
183,6.823609352186322,0.1089749999344349,0.10789781467095833,0.1,0.00789781467095832,0.07897813881176932,0.07897813881176932,0.10789596289396286,0.0,0.0,False,-7.836913937353529e-06,88.59204864501953,0.3426843583583832,-2.865845999622252e-06,0.0,0.0,0.9999998807907104,6.552309513092041,0.0,0.0,0.0,0.0032474896870553493,0.0,0.0,100,0.2,0.15,0.0,1030,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.08468014001846313,0.018163278698921204,0.027902932837605476,0.12847977876663208,0.10789596289396286,0.001748178619891405,0.057805922483839284,0.10789596289396286,0.001748178619891405,0.10253942012786865,0.10556868910789491,0.10778142511844635,0.11032602190971375,0.11217197775840759,0.0016254186630249023,0.001748178619891405,0.0002718317264225334
184,7.473249755948782,0.10937499982770532,0.10863640724933182,0.1,0.008636407249331818,0.0863640638569118,0.0863640638569118,0.10828636586666107,0.0,0.0,False,-1.3781737834506202e-05,92.2432632446289,0.3442789912223816,-3.0223529847717145e-06,0.0,-2.4414061883248905e-08,0.9999998807907104,6.376033782958984,0.0,0.0,0.0,0.0024713720194995403,0.0,0.0,100,0.2,0.155,0.01,978,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0887230709195137,0.018624266609549522,0.030048750340938568,0.13422562181949615,0.10828636586666107,0.0017990833148360252,-0.07135894770649248,0.10828636586666107,0.0017990833148360252,0.10273706912994385,0.10594092309474945,0.1081467866897583,0.11086583733558655,0.11274546384811401,0.0016645154682919383,0.0017990833148360252,0.00025686644949018955
185,7.5999959706515074,0.10974999971687793,0.10919320348310488,0.1,0.009193203483104873,0.09193202563784617,0.09193202563784617,0.10915175825357437,0.0,0.0,False,-1.2609863006218802e-05,92.64701080322266,0.34645020961761475,-1.2998301599509432e-06,0.0,0.0,0.9999999403953552,6.544033050537109,0.0,0.0,0.0,0.001737030572257936,0.0,0.0,100,0.2,0.145,0.0,990,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.09762988239526749,0.02023194171488285,0.032054685056209564,0.1461910754442215,0.10915175825357437,0.001968840602785349,-0.06350624739768598,0.10915175825357437,0.001968840602785349,0.10292217135429382,0.1066155344247818,0.10896933078765869,0.11205256283283234,0.11394801735877991,0.0018126385984942317,0.001968840602785349,0.00024267431581392884
186,7.710817168466747,0.10984999986831098,0.10952160167570793,0.1,0.009521601675707925,0.09521600723547852,0.09521600723547852,0.110234335064888,0.0,0.0,False,4.223632913635811e-06,91.57282257080078,0.3482714891433716,7.412132617901079e-06,0.0,0.0,1.0,6.72869873046875,0.0,0.0,0.0,0.001048769918270409,0.0,0.0,100,0.2,0.1475,0.0,1062,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.10867579281330109,0.02260468527674675,0.03577898442745209,0.1645595133304596,0.110234335064888,0.002219098387286067,-0.06168531067346176,0.110234335064888,0.002219098387286067,0.10326647758483887,0.10739562809467317,0.11000648140907288,0.11352085173130036,0.11581572890281677,0.0020158356055617332,0.002219098387286067,0.00028733149520121515
187,9.961594452448189,0.1141499999538064,0.11183580081475716,0.1,0.011835800814757158,0.11835799631177195,0.11835799631177195,0.11078957468271255,0.0,0.0,False,-5.346679699869128e-06,121.1949234008789,0.34897100925445557,-1.0991705494234338e-05,0.0,-2.4414061883248905e-08,1.0,6.578527450561523,0.0,0.0,0.0,0.0010290059726685286,0.0,0.0,100,0.2,0.1475,0.0,962,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.11431613564491272,0.023080209270119667,0.037165310233831406,0.17739875614643097,0.11078957468271255,0.0022759665735065937,-0.05063827838430182,0.11078957468271255,0.0022759665735065937,0.10339489579200745,0.10788428485393524,0.11060747504234314,0.1139821469783783,0.11713698506355286,0.0020789001137018204,0.0022759665735065937,0.00030920878634788096
188,6.575003033839166,0.112300000092946,0.11206790045385158,0.1,0.012067900453851574,0.12067899247061649,0.12067899247061649,0.11178546398878098,0.0,0.0,False,-7.3608398452051915e-06,87.38646697998047,0.3511093854904175,-4.796469511347823e-06,0.0,2.4414061883248905e-08,0.9999998807907104,6.746701717376709,0.0,0.0,0.0,0.000989634427241981,0.0,0.0,100,0.2,0.145,0.0,982,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.12430813163518906,0.027085745707154274,0.03815999999642372,0.1847870796918869,0.11178546398878098,0.002690733876079321,-0.13486223949166706,0.11178546398878098,0.002690733876079321,0.10348722338676453,0.10834440588951111,0.11150220036506653,0.1156859129667282,0.11790317296981812,0.002463549841195345,0.002690733876079321,0.00034248887095600367
