topology,topology_label,node_count,scenario_id,n_nodes,fixed_training_center,mean_c_kappa,std_c_kappa_nodes,median_c_kappa,p05_c_kappa,p95_c_kappa,mean_delta_c_kappa,mean_abs_delta_c_kappa,rmse_delta_c_kappa
community,Community topology,130,n130_s04,130,0.4012991820118967,0.47479055638784656,0.21830819027223755,0.5,0.07394736842105264,0.8235294117647058,0.07349137437594995,0.17473439349328004,0.2303463653883115
community,Community topology,140,n140_s00,140,0.4012991820118967,0.430651546595819,0.20030529235916172,0.4375,0.0,0.7692307692307693,0.029352364583922354,0.1604791577254357,0.20244448980833427
community,Community topology,140,n140_s01,140,0.4012991820118967,0.42374569530996753,0.22484337184800118,0.4,0.0730769230769231,0.8235294117647058,0.022446513298070857,0.1714351455650276,0.2259610316475365
community,Community topology,140,n140_s02,140,0.4012991820118967,0.43009317975642036,0.23254683171750876,0.4330357142857143,0.0,0.8125,0.028793997744523646,0.1778897211950944,0.23432269042489884
community,Community topology,140,n140_s03,140,0.4012991820118967,0.4216355399915483,0.2268656962386225,0.4,0.05000000000000001,0.8125,0.02033635797965161,0.1735927736362981,0.2277753533324259
community,Community topology,140,n140_s04,140,0.4012991820118967,0.46423987752035417,0.23980691725422001,0.47058823529411764,0.05263157894736842,0.8125,0.06294069550845743,0.20333802975675783,0.24792920101121746
community,Community topology,150,n150_s00,150,0.4012991820118967,0.43010597951850477,0.24832514398996175,0.4,0.0,0.8333333333333334,0.02880679750660807,0.1962601260547207,0.24999041725678597
community,Community topology,150,n150_s01,150,0.4012991820118967,0.41093331176384074,0.24184084592232935,0.4,0.0,0.8235294117647058,0.009634129751944083,0.19486093068139057,0.2420326655898024
community,Community topology,150,n150_s02,150,0.4012991820118967,0.4060816355408297,0.25748979154806806,0.3717105263157895,0.0,0.8333333333333334,0.004782453528933015,0.2026536195018791,0.2575342008612137
community,Community topology,150,n150_s03,150,0.4012991820118967,0.4528507393124367,0.2692714042439154,0.46256684491978606,0.0,0.9205882352941146,0.05155155730054002,0.22970873459810992,0.27416172636529873
community,Community topology,150,n150_s04,150,0.4012991820118967,0.40764498442584324,0.23218789140966764,0.4,0.07692307692307693,0.9205882352941146,0.006345802413946539,0.1762342262193091,0.2322745920791692
random,Random-geometric topology,50,n050_s00,50,0.42143491589124205,0.432320097144235,0.27401572666598667,0.3333333333333333,0.01800000000000001,1.0,0.010885181252993023,0.22339545746258477,0.27423184649343557
random,Random-geometric topology,50,n050_s01,50,0.42143491589124205,0.2960035957334719,0.21496850131973022,0.27884615384615385,0.0,0.6812499999999997,-0.12543132015777017,0.2086225875935833,0.248886465353526
random,Random-geometric topology,50,n050_s02,50,0.42143491589124205,0.36738550690795274,0.25251058581753155,0.34523809523809523,0.0,0.7272727272727273,-0.05404940898328932,0.21250715577419274,0.25823039046819385
random,Random-geometric topology,50,n050_s03,50,0.42143491589124205,0.4165382708107166,0.30349908186268254,0.39849624060150374,0.0,1.0,-0.0048966450805254195,0.2552040261080509,0.3035385804548343
random,Random-geometric topology,50,n050_s04,50,0.42143491589124205,0.36995600934041506,0.23651962069686083,0.3333333333333333,0.0,0.6842105263157895,-0.05147890655082699,0.20151441793445554,0.2420570362419892
random,Random-geometric topology,60,n060_s00,60,0.42143491589124205,0.4281948658496646,0.26565832333283435,0.45454545454545453,0.0,0.7857142857142857,0.006759949958422563,0.2266441819404392,0.2657443163634043
random,Random-geometric topology,60,n060_s01,60,0.42143491589124205,0.4008576536658378,0.19631265386738575,0.4,0.1407142857142857,0.7692307692307693,-0.02057726222540423,0.14943451508643021,0.19738815007276667
random,Random-geometric topology,60,n060_s02,60,0.42143491589124205,0.3443575313712277,0.17292985942171102,0.32575757575757575,0.09500000000000003,0.6842105263157895,-0.07707738452001435,0.15780333858933515,0.18932949977237798
random,Random-geometric topology,60,n060_s03,60,0.42143491589124205,0.43516490755621184,0.31015064500935857,0.4772727272727273,0.0,1.0,0.01372999166496985,0.2640548270004987,0.31045440127471424
random,Random-geometric topology,60,n060_s04,60,0.42143491589124205,0.3512822698756202,0.2179151723242271,0.3660714285714286,0.0,0.7142857142857143,-0.0701526460156218,0.18663991724323903,0.22892884499793975
random,Random-geometric topology,70,n070_s00,70,0.42143491589124205,0.422872732501443,0.17042231200875077,0.42727272727272725,0.14285714285714285,0.6666666666666666,0.0014378166102009336,0.14365246255681746,0.17042837717649184
random,Random-geometric topology,70,n070_s01,70,0.42143491589124205,0.4523078303427754,0.2937815715686471,0.4540441176470588,0.0,1.0,0.030872914451533402,0.24282322519612753,0.2953993037230721
random,Random-geometric topology,70,n070_s02,70,0.42143491589124205,0.4119032110451836,0.284974454709388,0.42857142857142855,0.0,0.9099999999999995,-0.009531704846058425,0.2288799190529587,0.2851338163638003
random,Random-geometric topology,70,n070_s03,70,0.42143491589124205,0.4135672865576577,0.24542698552121514,0.4375,0.0,0.8649999999999991,-0.00786762933358441,0.18905766758024523,0.24555305905926203
random,Random-geometric topology,70,n070_s04,70,0.42143491589124205,0.4365578665400647,0.22690573615306245,0.41428571428571426,0.03461538461538463,0.8235294117647058,0.015122950648822638,0.17855398791831784,0.2274091395161811
random,Random-geometric topology,80,n080_s00,80,0.42143491589124205,0.4361152730993263,0.20438899245924308,0.4,0.1,0.770054945054945,0.01468035720808426,0.16177958020541913,0.2049155268061976
random,Random-geometric topology,80,n080_s01,80,0.42143491589124205,0.4226142270397301,0.25777837816054244,0.4,0.0,1.0,0.0011793111484880935,0.19924760279534995,0.25778107576364984
random,Random-geometric topology,80,n080_s02,80,0.42143491589124205,0.4254391114106209,0.17127657124190793,0.4230769230769231,0.09934782608695654,0.800625,0.004004195519378892,0.12190148610608094,0.1713233709630469
random,Random-geometric topology,80,n080_s03,80,0.42143491589124205,0.3967486063637421,0.20030937870588827,0.41875,0.0,0.7013636363636362,-0.024686309527499898,0.15789352839217813,0.20182482769874102
random,Random-geometric topology,80,n080_s04,80,0.42143491589124205,0.36109569513304035,0.22635624733794554,0.4,0.0,0.6480392156862745,-0.06033922075820173,0.17577730124097618,0.23426047953213147
