slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
101,0.5131578947368421,4.0,2.0,4.0,2.8421052631578947,35.921052631578945,5,12,4,6,12
102,0.5210526315789473,5.0,2.0,5.0,2.789473684210526,35.26842105263158,4,15,4,20,35
103,0.5052631578947369,5.0,2.0,2.6299999999999386,2.6315789473684212,34.386842105263156,6,13,5,19,25
104,0.45789473684210524,2.0,2.0,2.0,2.0,33.71052631578947,4,12,4,20,37
105,0.4105263157894737,2.0,2.0,2.0,2.0,33.007894736842104,3,11,3,17,18
106,0.3973684210526316,2.0,2.0,2.0,2.0,33.64473684210526,5,15,4,5,5
107,0.4394736842105263,2.0,2.0,2.0,2.0,34.58157894736842,6,11,3,3,3
108,0.4473684210526316,2.0,2.0,2.0,2.0,34.53421052631579,1,6,1,12,16
109,0.4342105263157895,2.0,2.0,2.0,2.0,33.8421052631579,4,13,4,20,24
110,0.4052631578947368,2.0,2.0,2.0,2.0,34.23947368421052,3,12,3,9,11
111,0.37894736842105264,2.0,2.0,2.0,2.0,33.95263157894737,2,12,2,15,29
112,0.35789473684210527,3.0,2.0,3.0,2.526315789473684,33.69210526315789,4,11,4,19,27
113,0.40789473684210525,3.0,2.0,3.0,2.789473684210526,34.69210526315789,0,0,0,0,0
114,0.3815789473684211,3.0,2.0,3.0,2.736842105263158,35.15263157894737,5,13,5,7,10
115,0.39473684210526316,3.0,2.0,3.0,2.736842105263158,35.44210526315789,4,15,4,13,14
116,0.4868421052631579,3.0,2.0,3.0,2.736842105263158,36.01052631578948,5,8,3,3,3
117,0.47368421052631576,3.0,2.0,3.0,2.736842105263158,36.52894736842105,2,10,2,5,5
118,0.48157894736842105,3.0,2.0,3.0,2.6315789473684212,36.91842105263158,2,10,2,8,16
119,0.4868421052631579,3.0,2.0,3.0,2.526315789473684,36.68157894736842,4,13,4,13,17
120,0.4789473684210526,3.0,2.0,3.0,2.526315789473684,37.507894736842104,1,5,1,3,3
121,0.3684210526315789,3.0,1.0,3.0,2.0526315789473686,35.92894736842105,3,16,3,30,42
122,0.4131578947368421,3.0,2.0,3.0,2.3157894736842106,36.794736842105266,4,11,4,2,2
123,0.38421052631578945,3.0,2.0,3.0,2.3157894736842106,37.42631578947368,4,13,4,10,11
124,0.41842105263157897,3.0,2.0,3.0,2.3157894736842106,38.27894736842105,5,11,4,6,6
125,0.43157894736842106,3.0,2.0,2.0,2.1578947368421053,38.626315789473686,6,8,5,8,14
126,0.5473684210526316,2.0,2.0,2.0,2.0,38.98947368421052,1,6,1,7,13
127,0.5289473684210526,2.0,2.0,2.0,2.0,38.71052631578947,5,14,4,7,7
128,0.5131578947368421,2.0,2.0,2.0,2.0,38.73157894736842,4,14,4,5,6
129,0.4421052631578947,2.0,2.0,2.0,2.0,37.473684210526315,4,11,3,23,27
130,0.4236842105263158,2.0,2.0,2.0,2.0,36.46578947368421,2,10,2,23,26
131,0.5868421052631579,3.0,2.0,3.0,2.9473684210526314,36.43421052631579,2,12,2,12,14
132,0.631578947368421,3.0,2.0,3.0,2.789473684210526,35.392105263157895,7,12,6,19,21
133,0.631578947368421,3.0,2.0,3.0,2.6842105263157894,34.88421052631579,3,9,2,17,19
134,0.6289473684210526,3.0,2.0,3.0,2.6315789473684212,35.85263157894737,2,10,2,1,1
135,0.6684210526315789,3.0,2.0,3.0,2.4210526315789473,36.72631578947368,3,12,3,4,4
136,0.7605263157894737,3.0,2.0,3.0,2.3684210526315788,37.64736842105263,4,13,4,3,3
137,0.7736842105263158,3.0,2.0,3.0,2.263157894736842,37.76842105263158,4,14,4,12,14
138,0.781578947368421,3.0,2.0,3.0,2.263157894736842,37.04210526315789,2,12,2,16,16
139,0.781578947368421,3.0,2.0,3.0,2.263157894736842,38.04210526315789,5,9,4,0,0
140,0.9315789473684211,3.0,2.0,3.0,2.263157894736842,39.04210526315789,1,7,1,0,0
141,0.9736842105263158,2.0,2.0,2.0,2.0,37.415789473684214,4,16,3,22,22
142,0.9921052631578947,3.0,2.0,3.0,2.9473684210526314,35.84473684210526,2,12,2,31,31
143,1.0,3.0,2.0,3.0,2.9473684210526314,35.71052631578947,5,10,4,14,16
144,0.9526315789473684,3.0,2.0,3.0,2.9473684210526314,35.03947368421053,1,6,1,14,18
145,0.9736842105263158,3.0,2.0,3.0,2.9473684210526314,34.98421052631579,3,12,3,10,11
