phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,rank,selected
coarse,0.08750000000000002,1.5,-2.39453125,0.08750033991712279,0.08778835311660017,0.08766199999999999,7.884358419191919,20.787305050505047,True,18,False
coarse,0.08750000000000002,1.8,-2.41644287109375,0.08750020148113496,0.08791941805090828,0.0878285,7.896615646464644,21.165804040404037,True,19,False
refine,0.09687500000000002,0.5,-2.23785400390625,0.09687446641285083,0.09690630451655999,0.096675,7.913426267676767,20.416298080808083,True,20,False
coarse,0.08750000000000002,1.2,-2.376556396484375,0.08749920214300355,0.08768080699592809,0.0875135,7.938738333333333,20.783624444444445,True,21,False
coarse,0.08750000000000002,1.0,-2.36676025390625,0.08750000084537012,0.08762456344533512,0.08744149999999999,7.973644277777777,20.74686898989899,True,22,False
refine,0.09375000000000001,0.5,-2.274139404296875,0.09374961016351502,0.09378080805812622,0.093615,7.986777606060604,20.582516363636362,True,23,False
refine,0.09062500000000001,0.5,-2.3115234375,0.09062484653499285,0.09065538074440949,0.0904915,8.087127050505051,20.793667272727273,True,24,False
coarse,0.08750000000000002,0.5,-2.35009765625,0.0874990948114508,0.08752894138814145,0.08743799999999999,8.20594865151515,21.126687373737372,True,25,False
coarse,0.07500000000000001,1.8,-2.586639404296875,0.07500029795965549,0.07538290248701969,0.07520849999999998,8.495157474747476,22.811111919191916,True,26,False
coarse,0.07500000000000001,1.5,-2.563934326171875,0.07500093968579515,0.07526284071429215,0.0750905,8.512007106060604,22.539729898989897,True,27,False
coarse,0.07500000000000001,1.2,-2.54534912109375,0.0749992951405493,0.07516386314233289,0.0749555,8.521999343434342,22.20170393939394,True,28,False
coarse,0.07500000000000001,1.0,-2.53521728515625,0.07500060041519324,0.0751132315531456,0.0749855,8.581399106060605,22.187443535353538,True,29,False
coarse,0.07500000000000001,0.5,-2.51800537109375,0.07500061691125733,0.07502747203598165,0.07491099999999999,8.84244533838384,22.651128080808082,True,30,False
coarse,0.0625,1.5,-2.7613525390625,0.06250035141733541,0.06273159951560194,0.0626015,9.408906368686868,24.73088707070707,True,31,False
coarse,0.0625,1.8,-2.78485107421875,0.06249996270077725,0.06283901939219799,0.0626385,9.441392833333333,25.317875858585857,True,32,False
coarse,0.0625,1.2,-2.74212646484375,0.06249985429037844,0.06264466394820467,0.062494499999999994,9.462124717171719,24.545446565656565,True,33,False
coarse,0.0625,1.0,-2.731689453125,0.06249957061383759,0.06259846305773083,0.0624795,9.527086151515153,24.56051303030303,True,34,False
coarse,0.0625,0.5,-2.71392822265625,0.06250014352297743,0.06252360831835899,0.0623645,9.852154500000001,24.939965252525248,True,35,False
coarse,0.05,1.5,-2.999420166015625,0.0500001630794518,0.05019594926988004,0.050036000000000004,10.929849702020203,28.540464949494947,True,36,False
coarse,0.05,1.8,-3.02374267578125,0.04999903978932165,0.05028714205226652,0.050124499999999995,10.952652853535355,29.172601010101015,True,37,False
coarse,0.05,1.2,-2.97955322265625,0.05000020730552526,0.050122392902696156,0.049939,11.00956987878788,28.285243535353537,True,38,False
coarse,0.05,1.0,-2.968780517578125,0.05000019581849715,0.050083459059141446,0.04994,11.056074313131314,28.09795767676768,True,39,False
coarse,0.05,0.5,-2.95050048828125,0.04999957197185734,0.05001923280049721,0.049942,11.349093247474746,28.332560303030313,True,40,False
coarse,0.037500000000000006,1.5,-3.3018798828125,0.03749945278235661,0.03765468234448417,0.037517499999999995,13.413195419191918,34.27367444444444,True,41,False
coarse,0.037500000000000006,1.8,-3.32696533203125,0.03750057401223858,0.03772983574489895,0.037606,13.418859818181815,34.90542424242424,True,42,False
coarse,0.037500000000000006,1.2,-3.2813720703125,0.03749960583058151,0.037596152008004716,0.037466,13.464649196969697,33.81908272727273,True,43,False
coarse,0.037500000000000006,1.0,-3.270263671875,0.0374996823873581,0.03756533335854227,0.0374135,13.600005217171718,33.847168282828285,True,44,False
