node,af3_min_edge,af3_min_curvature,af3_min_normalized_score,orc_min_edge,orc_min_curvature,rank_score_af3_min,rank_score_af3_normalized,rank_score_orc_min,scenario_id,topology_seed
90,71-90,-8.0,0.3076923076923077,71-90,-0.16666666666666674,8.0,0.3076923076923077,0.16666666666666674,auto_010,1240190483
91,78-91,-5.0,0.25,50-91,-0.09999999999999987,5.0,0.25,0.09999999999999987,auto_010,1240190483
92,56-92,-12.0,0.5,56-92,-0.32051282051282026,12.0,0.5,0.32051282051282026,auto_010,1240190483
93,55-93,-3.0,0.2,72-93,0.04861111111111138,3.0,0.2,-0.04861111111111138,auto_010,1240190483
94,54-94,-9.0,0.375,54-94,-0.12820512820512797,9.0,0.375,0.12820512820512797,auto_010,1240190483
95,56-95,-3.0,0.16666666666666666,90-95,0.07142857142857151,3.0,0.16666666666666666,-0.07142857142857151,auto_010,1240190483
96,73-96,-8.0,0.4,73-96,-0.0777777777777775,8.0,0.4,0.0777777777777775,auto_010,1240190483
97,52-97,-3.0,0.25,52-97,0.0181818181818183,3.0,0.25,-0.0181818181818183,auto_010,1240190483
98,56-98,-5.0,0.25,56-98,-0.011111111111111294,5.0,0.25,0.011111111111111294,auto_010,1240190483
99,71-99,-5.0,0.19230769230769232,91-99,-0.033333333333333215,5.0,0.19230769230769232,0.033333333333333215,auto_010,1240190483
0,0-2,-2.0,0.14285714285714285,0-2,0.0,2.0,0.14285714285714285,-0.0,auto_011,4105262213
1,1-9,-5.0,0.625,1-9,-0.3428571428571425,5.0,0.625,0.3428571428571425,auto_011,4105262213
2,2-34,-10.0,0.625,2-92,-0.4583333333333328,10.0,0.625,0.4583333333333328,auto_011,4105262213
3,3-13,-4.0,0.25,3-43,-0.08888888888888857,4.0,0.25,0.08888888888888857,auto_011,4105262213
4,2-4,-2.0,0.14285714285714285,2-4,1.1102230246251565e-16,2.0,0.14285714285714285,-1.1102230246251565e-16,auto_011,4105262213
5,5-25,-12.0,0.8,5-25,-0.3511904761904763,12.0,0.8,0.3511904761904763,auto_011,4105262213
6,6-27,-7.0,0.5384615384615384,6-27,-0.35416666666666674,7.0,0.5384615384615384,0.35416666666666674,auto_011,4105262213
7,2-7,-6.0,0.5,2-7,-0.38095238095238093,6.0,0.5,0.38095238095238093,auto_011,4105262213
8,8-34,-3.0,0.25,8-34,-0.13636363636363624,3.0,0.25,0.13636363636363624,auto_011,4105262213
9,1-9,-5.0,0.625,1-9,-0.3428571428571425,5.0,0.625,0.3428571428571425,auto_011,4105262213
10,10-34,0.0,-0.0,10-34,0.06249999999999989,-0.0,-0.0,-0.06249999999999989,auto_011,4105262213
11,11-20,-5.0,0.45454545454545453,11-20,-0.2767857142857144,5.0,0.45454545454545453,0.2767857142857144,auto_011,4105262213
12,5-12,-11.0,1.0,12-35,-0.3482142857142858,11.0,1.0,0.3482142857142858,auto_011,4105262213
13,3-13,-4.0,0.25,13-20,-0.03749999999999987,4.0,0.25,0.03749999999999987,auto_011,4105262213
