scenario_id,node,method,rank,score
auto_000,63,af3_min,38.0,7.0
auto_000,64,af3_min,5.5,13.0
auto_000,65,af3_min,32.0,8.0
auto_000,66,af3_min,32.0,8.0
auto_000,67,af3_min,94.5,-0.0
auto_000,68,af3_min,38.0,7.0
auto_000,69,af3_min,87.5,1.0
auto_000,70,af3_min,1.5,17.0
auto_000,71,af3_min,24.5,9.0
auto_000,72,af3_min,87.5,1.0
auto_000,73,af3_min,56.5,5.0
auto_000,74,af3_min,87.5,1.0
auto_000,75,af3_min,3.5,14.0
auto_000,76,af3_min,24.5,9.0
auto_000,77,af3_min,24.5,9.0
auto_000,78,af3_min,17.5,10.0
auto_000,79,af3_min,72.5,3.0
auto_000,80,af3_min,98.5,-1.0
auto_000,81,af3_min,47.0,6.0
auto_000,82,af3_min,1.5,17.0
auto_000,83,af3_min,47.0,6.0
auto_000,84,af3_min,13.0,11.0
auto_000,85,af3_min,87.5,1.0
auto_000,86,af3_min,87.5,1.0
auto_000,87,af3_min,3.5,14.0
auto_000,88,af3_min,56.5,5.0
auto_000,89,af3_min,5.5,13.0
auto_000,90,af3_min,94.5,-0.0
auto_000,91,af3_min,72.5,3.0
auto_000,92,af3_min,72.5,3.0
auto_000,93,af3_min,94.5,-0.0
auto_000,94,af3_min,98.5,-1.0
auto_000,95,af3_min,64.0,4.0
auto_000,96,af3_min,32.0,8.0
auto_000,97,af3_min,64.0,4.0
auto_000,98,af3_min,32.0,8.0
auto_000,99,af3_min,24.5,9.0
auto_000,0,af3_normalized,58.5,0.3076923076923077
auto_000,1,af3_normalized,42.0,0.375
auto_000,2,af3_normalized,63.0,0.2857142857142857
auto_000,3,af3_normalized,15.0,0.5714285714285714
auto_000,4,af3_normalized,67.5,0.25
auto_000,5,af3_normalized,60.5,0.29411764705882354
auto_000,6,af3_normalized,58.5,0.3076923076923077
auto_000,7,af3_normalized,74.0,0.19230769230769232
auto_000,8,af3_normalized,15.0,0.5714285714285714
