case_id,topology_seed,curvature_weight,weighted_input_mean_abs_diff,weighted_input_max_abs_diff,weighted_input_pearson,weighted_input_spearman,weighted_input_cosine
test_vaoi_vs_transmissions_C03_q0p4_th0p6_cw1_cb0p08_ab0p85,3,1.0,0.07752822488421492,0.6129989403037797,0.7773178616955649,0.7395211407405452,0.7962218862287448
test_vaoi_vs_transmissions_C03_q0p4_th0p6_cw1_cb0p08_ab0p85,4,1.0,0.11082158428886706,0.6875,0.5949125598904218,0.5766722680384588,0.6195897073419074
test_vaoi_vs_transmissions_C04_q0p45_th0p6_cw0p75_cb0p08_ab0p85,0,0.75,0.06466305498239959,0.4535294117647058,0.7558612850176007,0.7336074965859404,0.7817437220083108
test_vaoi_vs_transmissions_C04_q0p45_th0p6_cw0p75_cb0p08_ab0p85,1,0.75,0.06442689456052486,0.5159340659340663,0.7067741756229323,0.7276959600840598,0.7375801327056614
test_vaoi_vs_transmissions_C04_q0p45_th0p6_cw0p75_cb0p08_ab0p85,2,0.75,0.06767089260163438,0.47728898066075753,0.6978202198171948,0.7033790628123021,0.7204396004199063
test_vaoi_vs_transmissions_C04_q0p45_th0p6_cw0p75_cb0p08_ab0p85,3,0.75,0.058146168663161184,0.45974920522783475,0.7773178616955567,0.7395211407405452,0.796221886228744
test_vaoi_vs_transmissions_C04_q0p45_th0p6_cw0p75_cb0p08_ab0p85,4,0.75,0.0831161882166503,0.515625,0.5949125598904211,0.5766722680384588,0.6195897073419077
test_vaoi_vs_transmissions_C05_q0p45_th0p6_cw1_cb0p08_ab0p8,0,1.0,0.08621740664319946,0.604705882352941,0.7558612850176083,0.7336074965859404,0.7817437220083105
test_vaoi_vs_transmissions_C05_q0p45_th0p6_cw1_cb0p08_ab0p8,1,1.0,0.08590252608069979,0.6879120879120885,0.7067741756229304,0.7276959600840598,0.7375801327056619
test_vaoi_vs_transmissions_C05_q0p45_th0p6_cw1_cb0p08_ab0p8,2,1.0,0.09022785680217923,0.6363853075476767,0.6978202198171979,0.7033790628123021,0.7204396004199061
test_vaoi_vs_transmissions_C05_q0p45_th0p6_cw1_cb0p08_ab0p8,3,1.0,0.07752822488421492,0.6129989403037797,0.7773178616955649,0.7395211407405452,0.7962218862287448
test_vaoi_vs_transmissions_C05_q0p45_th0p6_cw1_cb0p08_ab0p8,4,1.0,0.11082158428886706,0.6875,0.5949125598904218,0.5766722680384588,0.6195897073419074
test_vaoi_vs_transmissions_C06_q0p5_th0p7_cw1p25_cb0p12_ab0p8,0,1.25,0.10777175830399924,0.7558823529411762,0.7558612850176021,0.7336074965859404,0.781743722008311
test_vaoi_vs_transmissions_C06_q0p5_th0p7_cw1p25_cb0p12_ab0p8,1,1.25,0.10737815760087493,0.8598901098901106,0.7067741756229281,0.7276959600840598,0.7375801327056623
test_vaoi_vs_transmissions_C06_q0p5_th0p7_cw1p25_cb0p12_ab0p8,2,1.25,0.11278482100272395,0.795481634434596,0.6978202198171944,0.7033790628123021,0.7204396004199054
test_vaoi_vs_transmissions_C06_q0p5_th0p7_cw1p25_cb0p12_ab0p8,3,1.25,0.09691028110526853,0.7662486753797246,0.77731786169556,0.7395211407405452,0.7962218862287452
test_vaoi_vs_transmissions_C06_q0p5_th0p7_cw1p25_cb0p12_ab0p8,4,1.25,0.1385269803610838,0.859375,0.594912559890419,0.5766722680384588,0.6195897073419074
test_vaoi_vs_transmissions_C07_q0p55_th0p7_cw1p25_cb0p12_ab0p8,0,1.25,0.10777175830399924,0.7558823529411762,0.7558612850176021,0.7336074965859404,0.781743722008311
test_vaoi_vs_transmissions_C07_q0p55_th0p7_cw1p25_cb0p12_ab0p8,1,1.25,0.10737815760087493,0.8598901098901106,0.7067741756229281,0.7276959600840598,0.7375801327056623
test_vaoi_vs_transmissions_C07_q0p55_th0p7_cw1p25_cb0p12_ab0p8,2,1.25,0.11278482100272395,0.795481634434596,0.6978202198171944,0.7033790628123021,0.7204396004199054
test_vaoi_vs_transmissions_C07_q0p55_th0p7_cw1p25_cb0p12_ab0p8,3,1.25,0.09691028110526853,0.7662486753797246,0.77731786169556,0.7395211407405452,0.7962218862287452
test_vaoi_vs_transmissions_C07_q0p55_th0p7_cw1p25_cb0p12_ab0p8,4,1.25,0.1385269803610838,0.859375,0.594912559890419,0.5766722680384588,0.6195897073419074
