actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,phase,phase_slots,search_probability_mean,topology_index
0.08874,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.488154141414143,19.163325252525244,coarse,500,0.08812082918718919,15
0.08744,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.548374747474744,18.930202020202028,coarse,500,0.08812082918718919,15
0.08715999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.959976565656558,20.56057777777776,coarse,500,0.0857396784471187,16
0.08466,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.171309898989895,21.257054545454547,coarse,500,0.0857396784471187,16
0.08622,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.824862828282825,20.441903030303017,coarse,500,0.08797503682322412,17
0.08625999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,7.518763434343433,19.683107070707077,coarse,500,0.08797503682322412,17
0.08866,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,7.8230828282828275,20.256662626262617,coarse,500,0.08828984359063848,18
0.08602,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.046501414141414,20.658694949494937,coarse,500,0.08828984359063848,18
0.08381999999999999,0.5,0.08750000000000002,-2.5477142333984375,5,0,True,full,8.0328701010101,20.205074747474743,coarse,500,0.08611397174064601,19
0.08578,0.5,0.08750000000000002,-2.5477142333984375,5,1,True,full,8.40396444444445,21.451943434343445,coarse,500,0.08611397174064601,19
0.09942000000000001,1.0,0.1,-2.613983154296875,13,0,True,full,8.802608282828281,22.727446464646462,coarse,500,0.09876400524010441,0
0.09954,1.0,0.1,-2.613983154296875,13,1,True,full,9.433535959595961,24.41560808080811,coarse,500,0.09876400524010441,0
0.10296,1.0,0.1,-2.613983154296875,13,0,True,full,7.887664242424237,20.46747070707072,coarse,500,0.1045681688197972,1
0.10678000000000001,1.0,0.1,-2.613983154296875,13,1,True,full,7.1136915151515145,18.807115151515156,coarse,500,0.1045681688197972,1
0.09817999999999999,1.0,0.1,-2.613983154296875,13,0,True,full,7.0905622222222275,18.863527272727264,coarse,500,0.09810830394596666,2
0.09695999999999999,1.0,0.1,-2.613983154296875,13,1,True,full,7.507478585858583,20.55958383838385,coarse,500,0.09810830394596666,2
0.10166,1.0,0.1,-2.613983154296875,13,0,True,full,7.725301212121214,20.99062626262626,coarse,500,0.10079978850721216,3
0.09945999999999999,1.0,0.1,-2.613983154296875,13,1,True,full,7.555726868686863,20.07042020202019,coarse,500,0.10079978850721216,3
0.10142,1.0,0.1,-2.613983154296875,13,0,True,full,7.378376161616159,18.870157575757585,coarse,500,0.10093057921530095,4
0.10167999999999999,1.0,0.1,-2.613983154296875,13,1,True,full,7.739247676767681,19.39825858585858,coarse,500,0.10093057921530095,4
0.09552,1.0,0.1,-2.613983154296875,13,0,True,full,8.137918585858587,21.16300202020201,coarse,500,0.09532151233527741,5
