topology,topology_label,node_count,model,policy,model_label,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,150,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.876679552572706,0.2770779327594059,0.2428695163443378,0.08944,0.0016252179341040185,0.0014245663293320767,0.0896494522690773,0.0009762710851893697,0.0008557393362927601
community,Community topology,50,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,4.554278367346939,0.17075626065565788,0.14967446171261173,0.09503999999999999,0.005494360745346084,0.0048160195348441,0.09909204989671708,0.005053511382785427,0.004429598030975052
community,Community topology,60,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,4.928922598870058,0.45012671764938694,0.3945534641479303,0.099,0.006726812023536856,0.005896310710944599,0.09797980189323426,0.005562866254055974,0.004876067260773039
community,Community topology,70,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,5.510386335403727,0.40020282536749985,0.3507932431452091,0.09542857142857143,0.004240234879901659,0.0037167297453541003,0.0959209993481636,0.00487991701562663,0.004277435859227627
community,Community topology,80,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,5.577415506329113,0.45424439567427916,0.3981627680733918,0.099075,0.00423213155513862,0.003709626868028646,0.09835694581270218,0.0037678501540905577,0.0033026662768431813
community,Community topology,90,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,5.952051435705367,0.41422913612568774,0.36308784660211624,0.09333333333333334,0.003957334181890696,0.0034687563502333162,0.09436943233013154,0.004479587077847881,0.003926531197141422
community,Community topology,100,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,6.358247676767677,0.24448713368727465,0.21430242141513936,0.09425999999999998,0.003766032394974848,0.003301072940726998,0.09506540447473526,0.005009093369296852,0.004390663925521358
community,Community topology,110,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,6.421843369474563,0.49008166677359183,0.4295755212014033,0.09465454545454545,0.004125810714221725,0.0036164325419643204,0.09351391494274139,0.0033831065890646793,0.0029654236728442187
community,Community topology,120,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,6.640141036414566,0.19843860140862013,0.17393910322698675,0.09541666666666666,0.0031529307353987683,0.0027636656414584187,0.09480190724134445,0.0029829460467043836,0.002614667492388943
community,Community topology,130,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,6.71053786523554,0.07931668302761699,0.06952413803982571,0.09484615384615384,0.003493019242997765,0.0030617663618306805,0.09408591985702515,0.002102351751381308,0.0018427925600521021
community,Community topology,140,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,6.825642754367935,0.25554074470280586,0.22399133866114612,0.09358571428571429,0.0010219529123702477,0.0008957812232905936,0.09354480355978012,0.0017662045112099797,0.001548146512899063
community,Community topology,150,v33_curvature_stage2,nn,V3.3 ch2 curvature MPNN (mean-max),5,7.214041073825504,0.29539041438236935,0.2589211142126373,0.09072000000000001,0.0029376483414081038,0.0025749623030681874,0.09060518294572831,0.0022024166038889926,0.0019305032704994458
community,Community topology,50,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,4.454544489795919,0.12735965032057522,0.11163565559730435,0.11627999999999998,0.004659613717895507,0.004084331504665114,0.11771879345178604,0.002471196994180114,0.0021660996701937155
community,Community topology,60,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,4.968850282485876,0.3065687857256128,0.26871938870751866,0.1149,0.0033199732261303253,0.0029100848403058217,0.11484317034482956,0.002301414336571475,0.002017278609178828
community,Community topology,70,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,5.459337888198759,0.8000618589255531,0.7012851394828543,0.11362857142857144,0.004043891841344147,0.003544627483953704,0.11342235654592514,0.00266436381968592,0.002335417858102614
community,Community topology,80,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,5.549081012658228,0.2606357356976029,0.22845729517511937,0.11315,0.002954604457452807,0.0025898249940874375,0.1117193192243576,0.001532233274463578,0.00134306168156236
community,Community topology,90,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.114379525593009,0.5191531419050339,0.4550577926846422,0.10864444444444446,0.00417547217703993,0.0036599627333999654,0.10984268337488175,0.0021149567198710897,0.0018538413020798806
community,Community topology,100,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.503297575757577,0.2838792926373586,0.2488311711307422,0.1089,0.00288963665535998,0.0025328782047307386,0.10849900543689728,0.001642681866094949,0.001439874140653849
community,Community topology,110,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.461070225187656,0.45486210592709586,0.39870421498274494,0.10854545454545454,0.003149839298012806,0.002760955877114286,0.10810986757278443,0.0006891180092553417,0.000604038567579995
community,Community topology,120,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.652213585434174,0.24125397505164728,0.21146843291854847,0.10771666666666666,0.0013649888074429182,0.0011964654426917444,0.10756160020828247,0.0013108317210901797,0.0011489946634849091
community,Community topology,130,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.5722572450805,0.1420939657784116,0.1245508525358384,0.10718461538461536,0.002338638657259981,0.0020499071648773224,0.10718352645635605,0.0005856577813312838,0.0005133516793585154
community,Community topology,140,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.879639876670093,0.34061019513115487,0.2985579996559502,0.10617142857142856,0.00261403199393315,0.0022913000676471856,0.10551227033138275,0.0012443796491290484,0.0010907468542257965
community,Community topology,150,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,7.145696912751679,0.25887233583996866,0.22691160704947141,0.10464,0.0019847194036213527,0.0017396832610819932,0.10604542642831802,0.0014030144997117524,0.0012297964315511481
community,Community topology,50,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,5.530181224489796,0.41562414753796406,0.36431062801823344,0.086,0.0042261093218230895,0.0037043481477852494,0.08794883191585541,0.003717484210724555,0.0032585185809812047
community,Community topology,60,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.057194915254238,0.2806042883455987,0.24596050329933458,0.09,0.007601169500660922,0.006662718831094574,0.0903477743268013,0.005210168473304527,0.004566914025169806
community,Community topology,70,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.272745755693583,0.3828731089899469,0.3356030769956172,0.09017142857142857,0.005133324498623018,0.0044995573115585484,0.09042463451623917,0.0026826668357650746,0.0023514611590559485
community,Community topology,80,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.483191139240508,0.31348296135246967,0.27477993085784813,0.09659999999999999,0.004127272101521783,0.0036177135044113185,0.09419212937355041,0.00176029574323918,0.0015429672494154383
community,Community topology,90,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.663741573033708,0.2709632173914705,0.23750973200783745,0.09079999999999999,0.003984847844733725,0.0034928731390407096,0.09225816279649734,0.0030688962452450137,0.0026900061631425923
community,Community topology,100,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.966149696969697,0.35396609883904673,0.31026496542393095,0.09298,0.003920076529865202,0.0034360985783297897,0.09403682649135589,0.004693535293219978,0.004114065076410238
community,Community topology,110,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.0782890742285245,0.2507940723680064,0.21983069691419466,0.09692727272727272,0.0052768009341999595,0.004625319952301357,0.09504096955060959,0.0041318645333819765,0.003621738948421319
community,Community topology,120,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.096334173669469,0.13159366477291579,0.11534693289749916,0.09681666666666666,0.0037515737438514416,0.003288399374231241,0.09624773561954499,0.0035662547771072007,0.0031259601378244638
community,Community topology,130,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.194168872987478,0.3505444102904547,0.30726572317247713,0.0978923076923077,0.003189108684442009,0.002795377011970525,0.09793394654989243,0.0036202839727712765,0.003173318815900072
community,Community topology,140,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.468832271325797,0.16201076167624529,0.14200869386828407,0.09775714285714285,0.0026652526012690496,0.002336196909509129,0.09760612696409225,0.0020047038661488705,0.0017572004148304814
community,Community topology,150,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.63279749440716,0.12761400059757072,0.1118586034450118,0.09662666666666667,0.0022214109630292775,0.0019471525603643209,0.09692393094301224,0.0023474879908509517,0.002057663947771596
