topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
random,Random-geometric topology,70,curvature,nn,5,3.9289035196687356,0.21827470013027334,0.19132621036579195,0.1163,0.001768055544422529,0.001549769015047076,0.11498678475618362,0.002194579563744059,0.001923633801932911
random,Random-geometric topology,70,no_curvature,nn,5,3.9393194616977225,0.2335279766215989,0.2046962967065597,0.1282,0.0018635877182664386,0.0016335066574703733,0.12754613161087036,0.0006811999004235731,0.0005970980391763733
random,Random-geometric topology,80,curvature,matched_random,5,5.121210601265822,0.42855421976025065,0.3756443360318952,0.11165,0.005886060068076101,0.005159359129291159,0.11303219348192214,0.004245481169567634,0.003721328321000628
random,Random-geometric topology,80,curvature,nn,5,4.165062658227848,0.3439555821880043,0.3014903607010542,0.11345000000000001,0.005478544799944599,0.004802156247458011,0.11303219348192214,0.004245487616370481,0.003721333971872474
random,Random-geometric topology,80,no_curvature,nn,5,4.189670727848101,0.36790491655313073,0.3224828778463217,0.12761250000000002,0.0024147172453519213,0.00211659298756279,0.12713169157505036,0.001836246224685363,0.001609540781674939
random,Random-geometric topology,90,curvature,matched_random,5,5.597204993757804,0.6255487638569305,0.5483176672162235,0.11228888888888888,0.002603238723561841,0.0022818393490372712,0.1126775249838829,0.0026000906294989566,0.002279079922926196
random,Random-geometric topology,90,curvature,nn,5,4.364372034956305,0.33742673882360263,0.29576757717077196,0.11376666666666665,0.004963975159357276,0.004351116070817743,0.11267752051353455,0.0026000724223044403,0.0022790639636165455
random,Random-geometric topology,90,no_curvature,nn,5,4.367870911360798,0.35835176949160114,0.31410917524469767,0.12819999999999998,0.0025103489502162537,0.002200417872772081,0.12702494263648986,0.0009538369159250422,0.0008360749199152012
random,Random-geometric topology,100,curvature,matched_random,5,5.857179494949494,0.10180974093674611,0.0892401725904333,0.11405000000000001,0.0027701534253539105,0.002428146535940531,0.11421175450086593,0.003078422658688913,0.0026983564326951846
random,Random-geometric topology,100,curvature,nn,5,4.6613415151515145,0.11617713498192248,0.101833748730293,0.11455,0.0048123538938860235,0.004218214171897864,0.11421175301074982,0.0030784319049698126,0.0026983645374177357
random,Random-geometric topology,100,no_curvature,nn,5,4.690209090909093,0.19358078927729824,0.1696810431531437,0.12639,0.0022680939133995315,0.0019880719705282304,0.12659025937318802,0.0023222374923009634,0.0020355309099319707
random,Random-geometric topology,110,curvature,matched_random,5,6.101964970809007,0.2603099428630647,0.22817172516467232,0.1138090909090909,0.003498730584437639,0.00306677257332997,0.11422843337059022,0.002731649905754188,0.002394396712958925
random,Random-geometric topology,110,curvature,nn,5,4.945861718098415,0.2727646799311819,0.2390887835453414,0.11296363636363635,0.0040963852236852,0.0035906399622968287,0.11422843188047409,0.002731648890219858,0.0023943958228038373
random,Random-geometric topology,110,no_curvature,nn,5,4.875476230191827,0.2186970484738729,0.19169641501152937,0.12630909090909093,0.0019368650652515174,0.0016977370840656075,0.12579583674669265,0.0014226254225290591,0.00124698616330738
random,Random-geometric topology,120,curvature,matched_random,5,6.3762668067226915,0.2787394994472624,0.24432594376111078,0.11411666666666667,0.0033165462708466278,0.0029070809815575035,0.11202170848846435,0.0026946404722638768,0.0023619565141944324
random,Random-geometric topology,120,curvature,nn,5,5.157451890756303,0.18490908559846292,0.16207995974175227,0.11399166666666667,0.0040780578166028465,0.0035745752816865473,0.112021704018116,0.002694635850402816,0.0023619524629545905
random,Random-geometric topology,120,no_curvature,nn,5,5.205589285714286,0.2637358597131778,0.2311746736858214,0.1264,0.0031755084894653737,0.0027834559154643218,0.12506969273090363,0.00031222723181350984,0.00027367923538654444
random,Random-geometric topology,130,curvature,matched_random,5,6.606867620751342,0.2836864473138929,0.24866213475179663,0.11109230769230768,0.0028227467843014247,0.002474246647643033,0.11174579113721847,0.0025995636801267137,0.0022786180314363176
random,Random-geometric topology,130,curvature,nn,5,5.369035002981515,0.07558074008453552,0.06624943966655573,0.11176153846153844,0.0022871521787492443,0.002004777276655464,0.11174579411745071,0.0025995617370975087,0.0022786163282961266
random,Random-geometric topology,130,no_curvature,nn,5,5.36857954680978,0.15589521840075957,0.13664818383881955,0.12540769230769228,0.0008233824019747126,0.0007217264967386656,0.1258368819952011,0.0008140753146462843,0.0007135684750026197
random,Random-geometric topology,140,curvature,matched_random,5,6.674312076053445,0.4129732645422653,0.3619870266233514,0.11609285714285714,0.0025316365603042955,0.002219077285720347,0.1156955048441887,0.0023682024303663825,0.0020758209545615417
