node,x,y,label,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness
19,126.98259946970765,84.40609432512207,0,0.21111111111111117,0.21111111111111117,42,42,5,0.0007001710907579472
20,175.25856513677758,125.94872611594685,0,0.04499999999999997,0.04499999999999997,85,90,5,0.2768364452256858
21,156.39558674636294,181.6739717890593,0,0.36859128525795204,0.36859128525795204,3,3,9,0.010172891695948144
22,76.63382834065018,122.09875187272374,0,0.1569187223033378,0.1569187223033378,64,65,13,0.021705679189226997
23,110.48251232190482,191.12446999470873,0,0.10829887704887713,0.10829887704887713,74,76,12,0.037956074364023804
24,102.78754137843225,159.40306552112193,0,0.006098068598068662,0.006098068598068662,91,99,12,0.023659962316224012
25,109.31763851218419,118.63723259276685,0,0.11537767787767803,0.11537767787767803,72,74,14,0.06297115340195203
26,95.49144521995483,199.80719915264115,0,0.1726599158417341,0.1726599158417341,57,58,11,0.012911876182426656
27,73.83259952512637,152.85348998053112,0,0.0848769286269287,0.0848769286269287,80,84,12,0.02563639669629461
28,93.84906138894902,91.0212533763605,0,0.21005633255633263,0.21005633255633263,44,44,10,0.007028019562919473
29,175.27984566666544,192.40965639406477,0,0.3912252677877678,0.3912252677877678,2,2,8,0.00490620490620491
30,135.25470760482182,140.78853691015584,0,-0.09776488943155597,0.09776488943155597,97,80,9,0.04903669765311179
31,100.3071912205843,131.0392002973353,0,0.09265555872698737,0.09265555872698737,78,82,14,0.0754714961015035
32,77.00975265840036,204.0469734958159,0,0.21997113997114,0.21997113997114,41,41,10,0.005047110166589269
33,155.435274301202,204.2026899609203,0,0.368591285257952,0.368591285257952,4,4,9,0.010172891695948144
34,150.4448422900758,123.82812496623859,0,0.19305555555555554,0.19305555555555554,52,52,6,0.028749656902392947
35,138.22922961063614,124.68821511359195,0,0.04029982363315702,0.04029982363315702,86,91,9,0.20075355741809647
36,52.9546527930205,188.06243639396024,0,0.21051587301587305,0.21051587301587305,43,43,8,0.0020235980357893547
37,69.63734443401158,194.33096826354176,0,0.2649350649350649,0.2649350649350649,20,20,9,0.000705534118254045
38,93.55376329758417,110.15167321249585,0,0.20151878036493429,0.20151878036493429,48,48,13,0.015872253521728438
39,57.59469454965772,155.0658480682061,0,0.016449696137196088,0.016449696137196088,89,96,8,0.007982851732786112
40,56.70076115037819,103.55301435002454,0,0.23855668141382433,0.23855668141382433,28,28,7,0.0005623434913572021
41,92.01782792374443,207.9452501805598,0,0.23344957511624187,0.23344957511624187,30,30,9,0.0038483581783124447
