actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,candidate_id,dynamic_repeat_index,evaluated_on_full,evaluation_phase,mean_VAoI,mean_tail_VAoI,phase,phase_slots,search_probability_mean,topology_index
0.09960000000000001,1.0,0.1,-2.627105712890625,13,0,True,full,5.647447878787872,15.523595959595946,coarse,500,0.1011636695324541,14
0.10436,1.0,0.1,-2.627105712890625,13,1,True,full,5.392555353535354,14.731999999999989,coarse,500,0.1011636695324541,14
0.0964,1.0,0.1,-2.627105712890625,13,0,True,full,5.921819595959606,16.788981818181824,coarse,500,0.0969259808146804,15
0.09592,1.0,0.1,-2.627105712890625,13,1,True,full,5.916297171717173,17.125939393939394,coarse,500,0.0969259808146804,15
0.09592,1.0,0.1,-2.627105712890625,13,0,True,full,5.979848080808077,15.537551515151524,coarse,500,0.09489403575575654,16
0.09362,1.0,0.1,-2.627105712890625,13,1,True,full,5.953270303030301,15.335430303030318,coarse,500,0.09489403575575654,16
0.09948,1.0,0.1,-2.627105712890625,13,0,True,full,5.970472323232327,16.161240404040406,coarse,500,0.10266806970761945,17
0.09960000000000001,1.0,0.1,-2.627105712890625,13,1,True,full,5.5655404040404,14.715321212121207,coarse,500,0.10266806970761945,17
0.09948,1.0,0.1,-2.627105712890625,13,0,True,full,6.5526989898989925,16.740872727272738,coarse,500,0.09870866847040315,18
0.0958,1.0,0.1,-2.627105712890625,13,1,True,full,6.826909090909088,17.153090909090903,coarse,500,0.09870866847040315,18
0.10034000000000001,1.0,0.1,-2.627105712890625,13,0,True,full,6.29914020202021,17.275486868686862,coarse,500,0.10217995443562296,19
0.10157999999999999,1.0,0.1,-2.627105712890625,13,1,True,full,6.354707272727273,16.48778181818181,coarse,500,0.10217995443562296,19
0.0897,1.0,0.08750000000000002,-2.77508544921875,12,0,True,full,5.98650222222222,16.733705050505048,coarse,500,0.0889870445227308,0
0.0892,1.0,0.08750000000000002,-2.77508544921875,12,1,True,full,6.246697777777786,17.725583838383837,coarse,500,0.0889870445227308,0
0.08689999999999999,1.0,0.08750000000000002,-2.77508544921875,12,0,True,full,6.811031313131318,18.237688888888886,coarse,500,0.0885577543074068,1
0.09128,1.0,0.08750000000000002,-2.77508544921875,12,1,True,full,6.848204646464644,18.48951919191919,coarse,500,0.0885577543074068,1
0.09115999999999999,1.0,0.08750000000000002,-2.77508544921875,12,0,True,full,5.880643636363637,15.982395959595951,coarse,500,0.09136881766815322,2
0.09186,1.0,0.08750000000000002,-2.77508544921875,12,1,True,full,6.024433939393948,16.334828282828283,coarse,500,0.09136881766815322,2
