checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count
190,n060_s03,nn,60,200,0.2,0.1,0.11798978596925735,0.11798978596925735,4.211016949152544,0.1165,0.11798978596925735,0.08201182633638382,0.021464288234710693,0.030628320574760438,0.09931303560733795,0.2307042241096497,0.4035109877586365,0.08072040230035782,0.08201182633638382,0.0328114777803421,community,cross_model,60
190,n060_s03,matched_random,60,200,0.2,0.1,0.11798978596925735,0.11798978596925735,5.752481638418079,0.12091666666666666,0.11798978596925735,0.0,0.11798978596925735,0.11798978596925735,0.11798978596925735,0.11798978596925735,0.11798978596925735,1.4901161193847656e-08,0.0,0.0,community,cross_model,60
190,n060_s04,nn,60,200,0.2,0.1,0.12575304508209229,0.12575304508209229,3.8819011299435022,0.12258333333333334,0.12575304508209229,0.08363473415374756,0.02160516381263733,0.03511809222400189,0.10982944071292877,0.22519755363464355,0.4031463861465454,0.08200564980506897,0.08363473415374756,0.029810726642608643,community,cross_model,60
190,n060_s04,matched_random,60,200,0.2,0.1,0.12575304508209229,0.12575304508209229,5.351435028248586,0.12558333333333332,0.12575304508209229,0.0,0.12575304508209229,0.12575304508209229,0.12575304508209229,0.12575304508209229,0.12575304508209229,1.4901161193847656e-08,0.0,1.4901161193847656e-08,community,cross_model,60
190,n070_s00,nn,70,200,0.2,0.1,0.11380971968173981,0.11380971968173981,4.419552795031056,0.11592857142857144,0.11380971968173981,0.0782916396856308,0.0214637890458107,0.028472098708152774,0.1005258709192276,0.21792927831411363,0.40326792001724243,0.07705184817314148,0.0782916396856308,0.031170211732387543,community,cross_model,70
190,n070_s00,matched_random,70,200,0.2,0.1,0.11380971968173981,0.11380971968173981,5.948246376811593,0.123,0.11380971223115921,7.450580596923828e-09,0.11380971968173981,0.11380971968173981,0.11380971968173981,0.11380971968173981,0.11380971968173981,1.4901161193847656e-08,7.450580596923828e-09,0.0,community,cross_model,70
190,n070_s01,nn,70,200,0.2,0.1,0.11651752889156342,0.11651752889156342,4.4552204968944125,0.11871428571428572,0.11651752889156342,0.07648322731256485,0.021509379148483276,0.034609469771385196,0.09607940912246704,0.21562542021274567,0.40297451615333557,0.0748976543545723,0.07648322731256485,0.02123538963496685,community,cross_model,70
190,n070_s01,matched_random,70,200,0.2,0.1,0.11651752889156342,0.11651752889156342,5.757533126294,0.11757142857142858,0.11651754379272461,1.4901161193847656e-08,0.11651752889156342,0.11651752889156342,0.11651752889156342,0.11651752889156342,0.11651752889156342,0.0,1.4901161193847656e-08,7.450580596923828e-09,community,cross_model,70
190,n070_s02,nn,70,200,0.2,0.1,0.1112472265958786,0.1112472265958786,4.851841614906833,0.11185714285714286,0.1112472265958786,0.07547323405742645,0.021487712860107422,0.030416539311409,0.09170873463153839,0.22365168035030364,0.3289438486099243,0.0740414634346962,0.07547323405742645,0.026405582204461098,community,cross_model,70
190,n070_s02,matched_random,70,200,0.2,0.1,0.1112472265958786,0.1112472265958786,6.781359213250522,0.10835714285714286,0.111247219145298,7.450580596923828e-09,0.1112472265958786,0.1112472265958786,0.1112472265958786,0.1112472265958786,0.1112472265958786,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08,community,cross_model,70
190,n070_s03,nn,70,200,0.2,0.1,0.11735784262418747,0.11735784262418747,4.236064182194616,0.11557142857142857,0.11735784262418747,0.07557639479637146,0.02145606279373169,0.035616454482078556,0.10183048248291016,0.2155199557542801,0.3171910047531128,0.07413110882043839,0.07557639479637146,0.02052009105682373,community,cross_model,70
