model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,17,-18.0,0.0994554135799408
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,18,-8.0,0.07737618684768677
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,18,-8.0,0.09540491169691086
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,19,-6.0,0.14253586530685425
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,19,-6.0,0.10481733626127243
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,20,-4.0,0.07212391495704651
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,20,-4.0,0.10911195677518845
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,21,-3.0,0.10213842988014221
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,21,-3.0,0.10066923421621322
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,22,-6.0,0.07975447177886963
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,22,-6.0,0.09949224829673767
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,23,-2.0,0.09439843893051147
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,23,-2.0,0.1028676393032074
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,24,-11.0,0.14702001214027405
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,24,-11.0,0.1024090119600296
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,25,-3.0,0.14856016635894775
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,25,-3.0,0.09829265010356904
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,26,0.0,0.14627757668495178
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,26,0.0,0.10182373201847077
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,27,-14.0,0.14740988612174988
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,27,-14.0,0.10156393480300903
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,28,-2.0,0.15280285477638245
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,28,-2.0,0.10402041256427765
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,29,-5.0,0.13541799783706665
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,29,-5.0,0.1028841615319252
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,30,-18.0,0.14881294965744019
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,30,-18.0,0.09212205809354782
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,31,-8.0,0.08462834358215332
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,31,-8.0,0.09538849705457687
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,32,-2.0,0.14870178699493408
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,32,-2.0,0.09827943754196167
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,33,-7.0,0.07183632254600525
