topology,topology_label,node_count,model,policy,model_label,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,150,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,9.789489753914989,0.4165388321230552,0.3651123844070456,0.09880666666666667,0.0007635443667528448,0.0006692761462953853,0.09875085800886155,0.0020639319227211757,0.0018091160954134655
community,Community topology,50,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,5.793621632653061,0.49965385014195823,0.4379659098616693,0.10302,0.0042079686310617865,0.003688447131246428,0.1020408034324646,0.0011803058448624066,0.0010345836885142434
community,Community topology,60,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,6.585668644067795,0.5333425864287874,0.46749538919172756,0.10068333333333332,0.002724248112374818,0.0023879087550034666,0.10148587673902512,0.00047255048119831884,0.00041420875951379344
community,Community topology,70,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,7.15938757763975,0.7270193533361671,0.6372605604469024,0.1011857142857143,0.002587055689941203,0.0022676542946401704,0.10034286230802536,0.0009285190658099466,0.0008138828458258113
community,Community topology,80,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,7.254967563291137,0.6081238564014771,0.5330440624079852,0.1004875,0.00249350719369325,0.002185655422293274,0.10030508637428284,0.0010033954103034748,0.0008795148555339461
community,Community topology,90,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,8.292291635455678,0.8880405688612305,0.7784018788705074,0.09976666666666667,0.0020208786745581618,0.0017713782595119556,0.09963437616825103,0.0010466427232623914,0.0009174227967291212
community,Community topology,100,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,8.733415858585857,0.7036690627549342,0.6167931283295706,0.09828999999999999,0.0013571109018794306,0.001189560154006514,0.09983855038881302,0.0005836394097285904,0.0005115824986443843
community,Community topology,110,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,9.001378398665553,1.0915034629575757,0.9567449688130286,0.09979090909090907,0.002393733209379429,0.002098199669059087,0.09916359186172485,0.0006475909858751219,0.0005676385266848884
community,Community topology,120,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,9.139282422969186,0.6363567959960275,0.5577913250861046,0.09910833333333333,0.0014594043686076584,0.0012792243309478184,0.09885814040899277,0.0006129815125378222,0.0005373019857462022
community,Community topology,130,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,9.185472629695887,0.2540885922960123,0.2227184709549962,0.09882307692307693,0.0007856893102923658,0.0006886870451473928,0.09860571771860123,0.0006722623435723134,0.0005892639251848764
community,Community topology,140,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,9.743101901336075,0.7871987749817798,0.6900101492842176,0.09907142857142856,0.001296826975383238,0.0011367189626288476,0.09831847846508027,0.0006362237867490168,0.0005576747373406676
community,Community topology,150,v35_no_curvature_stage2,nn,V3.5 ch2 no-curvature MPNN (Stage-2),5,10.167869664429528,0.5343496157485111,0.46837808930930863,0.09774000000000001,0.0017142215596461135,0.0015025814468588525,0.09782360643148422,0.0003638685114934583,0.00031894481281584625
community,Community topology,50,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,6.463291020408164,0.547871104353788,0.48023019663923683,0.0921,0.004195235392680609,0.0036772859557015706,0.0907643124461174,0.0031928118067078523,0.002798622941751769
community,Community topology,60,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.351097175141244,0.5382052376892372,0.47175769094926995,0.09171666666666667,0.004390093013441363,0.0038480861909958993,0.09275694638490677,0.0043895074955549555,0.0038475729619398486
community,Community topology,70,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.563777432712216,0.6519023241220602,0.5714175812793947,0.09288571428571428,0.0026556639509561736,0.0023277920869355993,0.09284057915210724,0.0023318598975890985,0.002043965320045849
community,Community topology,80,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,7.770070094936713,0.34969438030501515,0.3065206390389776,0.0962375,0.004748437242925294,0.004162188757132475,0.09601157158613205,0.0014263021229578901,0.0012502089333273534
community,Community topology,90,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,8.37410861423221,0.6392333663181583,0.5603127501447831,0.09446666666666667,0.003584216084204693,0.0031417039176492825,0.09439439624547959,0.002692155246379855,0.002359778117660116
community,Community topology,100,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,8.974432424242423,0.6172027622731463,0.5410020742786119,0.09502,0.00453797862489457,0.003977713644796469,0.09595078080892563,0.0038965066800729104,0.0034154386940786203
community,Community topology,110,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,9.020021851542953,0.727522709775866,0.6377017718196053,0.09804545454545455,0.0048406423315318576,0.004243010080762776,0.09687002897262573,0.0034687755219926586,0.0030405158034182574
community,Community topology,120,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,9.3544087535014,0.40925683767643384,0.3587294348460324,0.09876666666666666,0.0024700638205879984,0.0021651063997462625,0.09786914139986039,0.002966944008877386,0.0026006410877999447
community,Community topology,130,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,9.51729701848539,0.16466723953415616,0.14433719937612066,0.09949999999999999,0.003160405936026786,0.0027702179437042998,0.09928272962570191,0.0030754876807284125,0.002695783811084185
community,Community topology,140,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,10.198727697841727,0.6251513354034147,0.5479693058172279,0.09936428571428571,0.0031593923789364348,0.002769329521743484,0.09903613626956939,0.0016681351649930336,0.001462184940836242
community,Community topology,150,v35_curvature_stage1_only,stage1_only,V3.5 ch2 curvature base (Stage-1 only),5,10.46925932885906,0.46619247304602723,0.40863571964922485,0.09848,0.0020810787800775122,0.0018241459785639756,0.09836579859256744,0.001950700693586322,0.0017098645470090814
