topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
random,Random-geometric topology,50,single_n_v3_3,nn,5,3.9811824489795926,0.35870118284259656,0.31441544955068584,0.10044,0.004637132734783427,0.004064626054140776,0.09993525296449661,0.004065833024767239,0.003563859779188908
random,Random-geometric topology,60,cross_n_v3_3,nn,5,4.199499717514125,0.25513113423919076,0.22363229925949818,0.096,0.0061641323621234615,0.005403100241733648,0.0968027412891388,0.005621938628535346,0.004927846479984893
random,Random-geometric topology,60,single_n_v3_3,nn,5,4.137075706214689,0.21952651482425414,0.19242347432417384,0.10036666666666667,0.003999826385121123,0.0035060024085686093,0.10034691989421844,0.003509505550084974,0.0030762172471418955
random,Random-geometric topology,70,cross_n_v3_3,nn,5,4.327845962732919,0.1970243163240732,0.17269942769225125,0.10127142857142857,0.0022265787794786217,0.001951682351203703,0.0992667481303215,0.0022348467007949875,0.0019589295037693404
random,Random-geometric topology,70,single_n_v3_3,nn,5,4.360657763975155,0.2257459282737834,0.19787503057547678,0.1034,0.001104951748877276,0.0009685329111599714,0.10100598782300949,0.0011194837427914198,0.0009812707654463018
random,Random-geometric topology,80,cross_n_v3_3,nn,5,4.568192246835443,0.4086560059195767,0.3582027825906941,0.0974,0.003720351545889177,0.003261031911067414,0.09686502963304519,0.0026249892296863753,0.0023009045082511494
random,Random-geometric topology,80,single_n_v3_3,nn,5,4.590473734177216,0.4246821226211819,0.3722502932438666,0.10001249999999999,0.002874796188427973,0.002519869961922639,0.09965604841709137,0.0021683046250828013,0.001900602802744037
random,Random-geometric topology,90,cross_n_v3_3,nn,5,4.732343695380773,0.31485926468282016,0.27598631391714273,0.0983,0.0046011606157952915,0.0040330951016267205,0.0975580245256424,0.0015370764415746374,0.001347306904709954
random,Random-geometric topology,90,single_n_v3_3,nn,5,4.852624469413233,0.38783103924292905,0.3399488944723785,0.10046666666666668,0.004016286289043097,0.0035204301504850877,0.09963067173957825,0.0009552260980026854,0.0008372925916942251
random,Random-geometric topology,100,cross_n_v3_3,nn,5,5.051048585858586,0.137654482740333,0.1206594740794628,0.09973,0.004456680378936774,0.003906452590266522,0.09950418770313263,0.0028448700578056923,0.0024936385518716554
random,Random-geometric topology,100,single_n_v3_3,nn,5,5.154493636363637,0.09978955162686777,0.08746939858570521,0.10094,0.003863191685640258,0.003386236813927817,0.1006657600402832,0.0017354091760717137,0.0015211532114975152
random,Random-geometric topology,110,cross_n_v3_3,nn,5,5.362591242702252,0.3718816221473839,0.32596861398814114,0.09923636363636364,0.003932199140766478,0.003446724515289483,0.09984013736248017,0.002416251013637863,0.002117937394741237
random,Random-geometric topology,110,single_n_v3_3,nn,5,5.380316346955796,0.36900491125634266,0.3234470657153801,0.10003636363636366,0.003129009824103918,0.0027426980382327195,0.10089682042598724,0.001823786248688737,0.001598619131170962
random,Random-geometric topology,120,cross_n_v3_3,nn,5,5.5199855742296915,0.19743812035822927,0.173062142920548,0.10068333333333332,0.0039965914296504635,0.0035031668450766695,0.09899442493915558,0.0023187896270717157,0.002032508722808267
random,Random-geometric topology,120,single_n_v3_3,nn,5,5.603866526610644,0.2272509229194681,0.19919421654621827,0.10162500000000001,0.0032822915013752197,0.002877055352265575,0.09981416314840316,0.0017141773258009573,0.0015025426741840596
random,Random-geometric topology,130,cross_n_v3_3,nn,5,5.713317292784735,0.1627901586932787,0.1426918654752106,0.09822307692307693,0.0030347348128980487,0.0026600623474474557,0.09781075567007065,0.0021928456228511445,0.001922113935728346
random,Random-geometric topology,130,single_n_v3_3,nn,5,5.7976395945140125,0.17398111822122633,0.15250117400048302,0.09941538461538461,0.0018578157308895954,0.0016284472874635357,0.09912079125642777,0.001331528236812576,0.0011671359593775563
random,Random-geometric topology,140,cross_n_v3_3,nn,5,5.748052517985611,0.2927001883238283,0.2565630271026756,0.09995000000000001,0.0018300914441299226,0.001604145878653184,0.10178748816251755,0.0016877785744934828,0.0014794031484257671
random,Random-geometric topology,140,single_n_v3_3,nn,5,5.874242446043165,0.36804864373472435,0.3226088602756387,0.09969285714285714,0.0011204841337018397,0.0009821476467415725,0.10158102065324784,0.0009320698011489442,0.0008169952025763503
random,Random-geometric topology,150,cross_n_v3_3,nn,5,6.149789127516779,0.1405497943279018,0.12319732658159468,0.09901333333333333,0.002305139185963974,0.002020543583626278,0.09973032772541046,0.0022264630406111947,0.0019515809016134222
random,Random-geometric topology,150,single_n_v3_3,nn,5,6.230066442953019,0.1315221682594223,0.11528426344028352,0.09954666666666667,0.0018041002682162041,0.0015813636084791578,0.10004778057336808,0.001627526724327704,0.0014265900731913683
