checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,model_label,node_count
490,n090_s00,nn,90,200,0.2,0.1,0.09837522357702255,0.09837522357702255,5.655696004993755,0.09961111111111111,0.09837522357702255,0.03626333922147751,0.03546127676963806,0.054268309473991395,0.09463612735271454,0.14879048466682435,0.2422122359275818,0.03580454736948013,0.03626333922147751,0.014554723165929317,community,single_n_v3_3,V3.3 single-N MPNN,90
490,n090_s01,nn,90,200,0.2,0.1,0.09980983287096024,0.09980983287096024,6.318455680399498,0.09683333333333333,0.09980983287096024,0.0372740812599659,0.0350174605846405,0.05549422800540924,0.09435504674911499,0.1536944329738617,0.2173803150653839,0.03674263507127762,0.0372740812599659,0.01646898314356804,community,single_n_v3_3,V3.3 single-N MPNN,90
490,n090_s02,nn,90,200,0.2,0.1,0.0941365510225296,0.0941365510225296,6.342488764044942,0.09455555555555556,0.0941365510225296,0.03622521087527275,0.03599601984024048,0.050269311666488646,0.09134541451931,0.14066758155822753,0.2446044385433197,0.035856835544109344,0.03622521087527275,0.01901135966181755,community,single_n_v3_3,V3.3 single-N MPNN,90
490,n090_s03,nn,90,200,0.2,0.1,0.09726228564977646,0.09726228564977646,5.856945068664166,0.09605555555555555,0.09726228564977646,0.03549917787313461,0.03448603302240372,0.05354966223239899,0.09443075954914093,0.1450252801179886,0.23655954003334045,0.035018615424633026,0.03549917787313461,0.01381906121969223,community,single_n_v3_3,V3.3 single-N MPNN,90
490,n090_s04,nn,90,200,0.2,0.1,0.09638360887765884,0.09638360887765884,6.639068039950062,0.09983333333333333,0.09638360887765884,0.03715437278151512,0.035389244556427,0.05178694427013397,0.09282258152961731,0.14429700374603271,0.2435595691204071,0.03672847896814346,0.03715437278151512,0.018300602212548256,community,single_n_v3_3,V3.3 single-N MPNN,90
490,n100_s00,nn,100,200,0.2,0.1,0.09976806491613388,0.09976806491613388,6.007829292929293,0.09960000000000001,0.09976806491613388,0.03706245869398117,0.035153865814208984,0.054923078417778014,0.09564042091369629,0.14836466610431673,0.2490525245666504,0.03657908737659454,0.03706245869398117,0.01570441946387291,community,single_n_v3_3,V3.3 single-N MPNN,100
490,n100_s01,nn,100,200,0.2,0.1,0.09720037132501602,0.09720037132501602,6.199829797979795,0.09609999999999999,0.09720037132501602,0.03542886674404144,0.0354900062084198,0.05424893796443939,0.09398776665329933,0.14654690027236938,0.24542459845542908,0.03496396169066429,0.03542886674404144,0.013938120566308498,community,single_n_v3_3,V3.3 single-N MPNN,100
490,n100_s02,nn,100,200,0.2,0.1,0.09332133829593658,0.09332133829593658,6.786357575757575,0.09415,0.09332133829593658,0.033101264387369156,0.03519424796104431,0.052530119940638546,0.09025801718235016,0.13997431695461274,0.19241058826446533,0.0326344259083271,0.033101264387369156,0.011960115283727646,community,single_n_v3_3,V3.3 single-N MPNN,100
490,n100_s03,nn,100,200,0.2,0.1,0.101247139275074,0.101247139275074,5.963134848484848,0.10145,0.101247139275074,0.038347452878952026,0.034759342670440674,0.05593766272068024,0.09618306159973145,0.1545308023691178,0.24348871409893036,0.03794189542531967,0.038347452878952026,0.017942696809768677,community,single_n_v3_3,V3.3 single-N MPNN,100
490,n100_s04,nn,100,200,0.2,0.1,0.10030654072761536,0.10030654072761536,6.542873232323234,0.09685,0.10030654072761536,0.03739933669567108,0.03522387146949768,0.05581854283809662,0.09502376616001129,0.15722319781780245,0.23302114009857178,0.03701736032962799,0.03739933669567108,0.0169688630849123,community,single_n_v3_3,V3.3 single-N MPNN,100
490,n110_s00,nn,110,200,0.2,0.1,0.09914863854646683,0.09914863854646683,7.061776480400333,0.09959090909090909,0.09914863854646683,0.036202821880578995,0.03588929772377014,0.05571286082267761,0.09432908892631531,0.14971740543842316,0.24066337943077087,0.03581024333834648,0.036202821880578995,0.015076158568263054,community,single_n_v3_3,V3.3 single-N MPNN,110
490,n110_s01,nn,110,200,0.2,0.1,0.09759709984064102,0.09759709984064102,7.071645120934107,0.09777272727272728,0.09759709984064102,0.035845473408699036,0.035766273736953735,0.05457489974796772,0.09327540546655655,0.147528213262558,0.2470686435699463,0.035389386117458344,0.035845473408699036,0.01515514962375164,community,single_n_v3_3,V3.3 single-N MPNN,110
490,n110_s02,nn,110,200,0.2,0.1,0.10061586648225784,0.10061586648225784,5.984006672226859,0.10286363636363637,0.10061586648225784,0.03796854987740517,0.03559812903404236,0.05573389232158661,0.09518155455589294,0.1537946790456772,0.24748966097831726,0.037554021924734116,0.03796854987740517,0.016108080744743347,community,single_n_v3_3,V3.3 single-N MPNN,110
490,n110_s03,nn,110,200,0.2,0.1,0.09467187523841858,0.09467187523841858,7.130233527939951,0.09418181818181817,0.09467187523841858,0.03418244421482086,0.03565379977226257,0.052484148740768434,0.09138660132884979,0.1414751529693604,0.20905852317810059,0.033647168427705765,0.03418244421482086,0.012582449242472649,community,single_n_v3_3,V3.3 single-N MPNN,110
490,n110_s04,nn,110,200,0.2,0.1,0.09882328659296036,0.09882328659296036,5.703613010842369,0.09695454545454545,0.09882328659296036,0.036225952208042145,0.03667554259300232,0.0547224372625351,0.09429186582565308,0.15002045631408695,0.23326832056045532,0.03568548336625099,0.036225952208042145,0.013578729704022408,community,single_n_v3_3,V3.3 single-N MPNN,110
490,n120_s00,nn,120,200,0.2,0.1,0.09585800021886826,0.09585800021886826,6.662038865546223,0.097625,0.09585800021886826,0.03515944629907608,0.03472277522087097,0.05332280695438385,0.09189696609973907,0.14355711936950685,0.23946377635002136,0.03472845256328583,0.03515944629907608,0.013727814890444279,community,single_n_v3_3,V3.3 single-N MPNN,120
490,n120_s01,nn,120,200,0.2,0.1,0.09770482033491135,0.09770482033491135,6.592483543417368,0.09604166666666666,0.09770482033491135,0.03591129928827286,0.03571194410324097,0.05433700978755951,0.09339772164821625,0.14789006114006045,0.21993273496627808,0.035474881529808044,0.03591129928827286,0.014148963615298271,community,single_n_v3_3,V3.3 single-N MPNN,120
490,n120_s02,nn,120,200,0.2,0.1,0.10237909108400345,0.10237909108400345,6.1230350140056045,0.10170833333333333,0.10237909108400345,0.038004469126462936,0.03535410761833191,0.05672669112682343,0.09769298136234283,0.15532141625881196,0.2439810037612915,0.037578925490379333,0.038004469126462936,0.016408007591962814,community,single_n_v3_3,V3.3 single-N MPNN,120
490,n120_s03,nn,120,200,0.2,0.1,0.09980340301990509,0.09980340301990509,6.842594537815127,0.09991666666666667,0.09980340301990509,0.0368700809776783,0.035131990909576416,0.05593200922012329,0.09507560729980469,0.15267839431762695,0.24194186925888062,0.03638447821140289,0.0368700809776783,0.015590469352900982,community,single_n_v3_3,V3.3 single-N MPNN,120
490,n120_s04,nn,120,200,0.2,0.1,0.0986965149641037,0.0986965149641037,6.054977591036411,0.1005,0.0986965149641037,0.03606586158275604,0.03614896535873413,0.05480752885341644,0.09474773705005646,0.14738076329231264,0.240657240152359,0.03568151965737343,0.03606586158275604,0.014056720770895481,community,single_n_v3_3,V3.3 single-N MPNN,120
490,n130_s00,nn,130,200,0.2,0.1,0.1015288457274437,0.1015288457274437,6.238215861657717,0.10115384615384615,0.1015288457274437,0.03843023255467415,0.033777981996536255,0.05569133162498474,0.09648074209690094,0.15284462869167328,0.2464108169078827,0.03799315541982651,0.03843023255467415,0.01707976683974266,community,single_n_v3_3,V3.3 single-N MPNN,130
490,n130_s01,nn,130,200,0.2,0.1,0.0970672145485878,0.0970672145485878,6.408214072748958,0.09788461538461538,0.0970672145485878,0.03614385426044464,0.03487470746040344,0.0535876601934433,0.09230069816112518,0.14826581180095671,0.24086248874664307,0.035688504576683044,0.03614385426044464,0.014721168205142021,community,single_n_v3_3,V3.3 single-N MPNN,130
